date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,weekend_flag,marketing_push_flag,weather_disruption_index,weekend_flag_raw,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level,holiday_peak_flag_calendar,prime_event_flag_calendar,marketing_push_flag_calendar,weather_disruption_index_calendar,weekend_flag_calendar,revenue_usd,gross_margin_usd,month
2024-08-07,SKU-100069,North,21,127.85,0,0,0,0,0.48,1970-01-03,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,-0.6633333333333333,0.0,2684.85,1550.2199999999998,2024-08
2024-08-07,SKU-100204,West,56,42.04,0,1,0,0,-1.09,1970-01-09,Electronics,82.88,157.93,0.66,0.952,0.0,1.0,0.0,-0.6633333333333333,0.0,2354.24,-2287.04,2024-08
2024-08-07,SKU-100341,West,21,83.05,0,1,0,0,-0.09,1970-01-15,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,-0.6633333333333333,0.0,1744.05,-56.48999999999995,2024-08
2024-08-07,SKU-100656,West,30,120.06,0,1,0,0,-2.39,1970-01-28,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,-0.6633333333333333,0.0,3601.8,710.6999999999999,2024-08
2024-08-07,SKU-100695,West,27,128.12,0,1,0,0,0.0,1970-01-29,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,-0.6633333333333333,0.0,3459.2400000000002,2415.96,2024-08
2024-08-08,SKU-100127,West,54,196.23,0,0,0,0,0.35,1970-01-06,Toys,14.98,175.66,1.79,0.972,0.0,1.0,1.0,0.8966666666666666,0.0,10596.42,9787.5,2024-08
2024-08-08,SKU-100244,West,64,77.96,0,1,0,0,1.24,1970-01-11,Pet,68.29,97.95,0.38,0.978,0.0,1.0,1.0,0.8966666666666666,0.0,4989.44,618.8799999999992,2024-08
2024-08-08,SKU-100485,East,67,197.18,0,1,0,0,-0.39,1970-01-21,Home,85.74,189.02,1.49,0.954,0.0,1.0,1.0,0.8966666666666666,0.0,13211.060000000001,7466.4800000000005,2024-08
2024-08-08,SKU-100585,North,57,176.03,0,1,0,0,-0.84,1970-01-25,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,1.0,0.8966666666666666,0.0,10033.710000000001,7325.07,2024-08
2024-08-08,SKU-100740,East,72,157.68,0,1,0,0,0.57,1970-01-31,Toys,22.32,198.29,0.86,0.968,0.0,1.0,1.0,0.8966666666666666,0.0,11352.960000000001,9745.920000000002,2024-08
2024-08-09,SKU-100370,East,53,175.07,0,1,0,0,0.4,1970-01-16,Pet,68.29,97.95,0.38,0.978,0.0,1.0,0.0,-0.17333333333333334,0.0,9278.71,5659.339999999999,2024-08
2024-08-09,SKU-100426,East,65,155.95,0,1,0,1,1.77,1970-01-18,Kitchen,30.06,129.52,0.22,0.931,0.0,1.0,0.0,-0.17333333333333334,0.0,10136.75,8182.849999999999,2024-08
2024-08-09,SKU-100479,South,64,97.07,0,1,0,0,-0.34,1970-01-20,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,-0.17333333333333334,0.0,6212.48,3739.5199999999995,2024-08
2024-08-09,SKU-100542,South,31,176.79,0,1,0,0,-0.92,1970-01-23,Toys,22.32,198.29,0.86,0.968,0.0,1.0,0.0,-0.17333333333333334,0.0,5480.49,4788.57,2024-08
2024-08-09,SKU-100693,North,35,106.82,0,1,0,0,0.87,1970-01-29,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,-0.17333333333333334,0.0,3738.7,2075.4999999999995,2024-08
2024-08-09,SKU-100729,South,33,138.28,0,1,0,0,0.0,1970-01-31,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,-0.17333333333333334,0.0,4563.24,2995.08,2024-08
2024-08-09,SKU-100755,South,68,41.09,0,1,0,0,0.57,1970-02-01,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,-0.17333333333333334,0.0,2794.1200000000003,-3036.1999999999994,2024-08
2024-08-10,SKU-100334,West,45,195.12,0,1,1,0,0.2,1970-01-14,Pet,68.29,97.95,0.38,0.978,0.0,1.0,0.0,-0.7999999999999999,1.0,8780.4,5707.35,2024-08
2024-08-10,SKU-100530,East,51,32.08,0,1,1,0,-0.39,1970-01-23,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,-0.7999999999999999,1.0,1636.08,-3278.7900000000004,2024-08
2024-08-11,SKU-100063,East,50,190.02,0,0,1,0,-0.41,1970-01-03,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,1.0,0.82,1.0,9501.0,7125.0,2024-08
2024-08-11,SKU-100633,North,62,189.66,0,1,1,0,0.21,1970-01-27,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,1.0,0.82,1.0,11758.92,7924.22,2024-08
2024-08-11,SKU-100900,East,59,178.21,0,1,1,0,-0.31,1970-02-07,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,1.0,0.82,1.0,10514.390000000001,7506.5700000000015,2024-08
2024-08-11,SKU-100917,North,31,106.32,0,1,1,0,0.39,1970-02-08,Home,85.74,189.02,1.49,0.954,0.0,1.0,1.0,0.82,1.0,3295.9199999999996,637.9799999999999,2024-08
2024-08-12,SKU-100325,South,27,127.78,0,1,0,0,-1.09,1970-01-14,Toys,14.98,175.66,1.79,0.972,0.0,1.0,0.0,1.4733333333333334,0.0,3450.06,3045.6,2024-08
2024-08-12,SKU-100929,North,33,158.75,0,1,0,0,-0.31,1970-02-08,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,1.4733333333333334,0.0,5238.75,3963.63,2024-08
2024-08-13,SKU-100395,South,28,151.25,0,1,0,0,0.2,1970-01-17,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,0.8333333333333334,0.0,4235.0,1834.2800000000002,2024-08
2024-08-13,SKU-100986,East,32,124.06,0,1,0,0,1.09,1970-02-11,Pet,39.01,44.01,0.77,0.983,0.0,1.0,0.0,0.8333333333333334,0.0,3969.92,2721.6000000000004,2024-08
2024-08-14,SKU-100036,East,35,175.8,0,0,0,0,0.31,1970-01-02,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,0.0,0.775,0.0,6153.0,4368.700000000001,2024-08
2024-08-14,SKU-100326,North,33,186.98,0,0,0,0,-0.44,1970-01-14,Toys,22.32,198.29,0.86,0.968,0.0,1.0,0.0,0.775,0.0,6170.339999999999,5433.78,2024-08
2024-08-14,SKU-100522,North,23,126.51,0,1,0,0,-0.09,1970-01-22,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,0.0,0.775,0.0,2909.73,1737.19,2024-08
2024-08-15,SKU-100302,South,56,199.57,0,0,0,0,0.35,1970-01-13,Pet,39.01,44.01,0.77,0.983,0.0,1.0,0.0,-1.2175,0.0,11175.92,8991.36,2024-08
2024-08-15,SKU-100681,North,45,31.86,0,1,0,0,-0.92,1970-01-29,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,-1.2175,0.0,1433.7,-997.6500000000001,2024-08
2024-08-15,SKU-100798,West,40,150.6,0,1,0,0,3.32,1970-02-03,Electronics,82.88,157.93,0.66,0.952,0.0,1.0,0.0,-1.2175,0.0,6024.0,2708.8,2024-08
2024-08-16,SKU-100226,North,40,150.29,0,0,0,1,0.35,1970-01-10,Pet,68.29,97.95,0.38,0.978,0.0,1.0,0.0,-0.9950000000000001,0.0,6011.599999999999,3279.9999999999995,2024-08
2024-08-16,SKU-100420,South,56,73.64,0,1,0,0,-1.09,1970-01-18,Electronics,82.88,157.93,0.66,0.952,0.0,1.0,0.0,-0.9950000000000001,0.0,4123.84,-517.4399999999997,2024-08
2024-08-16,SKU-100435,West,27,102.79,0,1,0,0,1.24,1970-01-19,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,-0.9950000000000001,0.0,2775.3300000000004,1105.38,2024-08
2024-08-16,SKU-100653,North,63,30.51,0,1,0,0,0.17,1970-01-28,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,-0.9950000000000001,0.0,1922.13,-5567.3099999999995,2024-08
2024-08-17,SKU-100167,North,35,111.51,0,0,1,0,-0.15,1970-01-07,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,0.73,1.0,3902.8500000000004,-257.94999999999965,2024-08
2024-08-17,SKU-100291,East,47,160.46,0,0,1,0,0.48,1970-01-13,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,0.73,1.0,7541.620000000001,4634.670000000001,2024-08
2024-08-17,SKU-100365,West,44,42.75,0,0,1,0,-0.44,1970-01-16,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,0.73,1.0,1881.0,-3349.72,2024-08
2024-08-17,SKU-100570,West,64,97.72,0,1,1,0,0.4,1970-01-24,Kitchen,30.06,129.52,0.22,0.931,0.0,1.0,0.0,0.73,1.0,6254.08,4330.24,2024-08
2024-08-17,SKU-100944,North,33,153.63,0,1,1,0,0.57,1970-02-09,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,0.73,1.0,5069.79,1889.5799999999997,2024-08
2024-08-18,SKU-100829,East,26,101.1,0,1,1,0,-0.84,1970-02-04,Toys,14.98,175.66,1.79,0.972,0.0,1.0,0.0,-0.19,1.0,2628.6,2239.12,2024-08
2024-08-18,SKU-101051,East,44,162.9,0,1,1,0,0.31,1970-02-13,Kitchen,40.39,32.87,0.64,0.972,0.0,1.0,0.0,-0.19,1.0,7167.6,5390.4400000000005,2024-08
2024-08-19,SKU-100998,South,41,159.24,0,1,0,0,0.57,1970-02-11,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,-0.11666666666666668,0.0,6528.84,2577.67,2024-08
2024-08-19,SKU-101008,East,61,187.5,0,1,0,0,-0.29,1970-02-12,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,0.0,-0.11666666666666668,0.0,11437.5,8327.720000000001,2024-08
2024-08-20,SKU-100311,East,54,72.76,0,0,0,0,-0.43,1970-01-13,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,0.74,0.0,3929.0400000000004,-2490.4799999999996,2024-08
2024-08-20,SKU-100490,South,26,127.23,0,1,0,0,-1.29,1970-01-21,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,0.74,0.0,3307.98,383.5,2024-08
2024-08-20,SKU-100593,North,51,32.55,0,1,0,0,1.25,1970-01-25,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,0.74,0.0,1660.05,-2712.69,2024-08
2024-08-20,SKU-101120,North,75,73.12,0,1,0,0,-0.31,1970-02-16,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,0.74,0.0,5484.0,-2952.0,2024-08
2024-08-21,SKU-100608,South,70,97.33,0,1,0,0,1.25,1970-01-26,Pet,39.01,44.01,0.77,0.983,0.0,1.0,0.0,0.69,0.0,6813.099999999999,4082.4,2024-08
2024-08-21,SKU-100786,East,29,158.99,0,1,0,0,0.17,1970-02-02,Kitchen,30.06,129.52,0.22,0.931,0.0,1.0,0.0,0.69,0.0,4610.71,3738.9700000000003,2024-08
2024-08-21,SKU-100868,South,59,188.9,0,1,0,0,0.21,1970-02-06,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,0.69,0.0,11145.1,4508.78,2024-08
2024-08-21,SKU-101087,South,46,147.01,0,1,0,0,1.54,1970-02-15,Kitchen,40.39,32.87,0.64,0.972,0.0,1.0,0.0,0.69,0.0,6762.459999999999,4904.5199999999995,2024-08
2024-08-22,SKU-100112,West,31,74.61,0,0,0,0,1.28,1970-01-05,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,-0.3925,0.0,2312.91,-1173.9700000000003,2024-08
2024-08-22,SKU-100831,West,22,175.43,0,1,0,0,-0.39,1970-02-04,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,-0.3925,0.0,3859.46,2498.76,2024-08
2024-08-22,SKU-101033,South,28,151.46,0,1,0,0,0.0,1970-02-13,Kitchen,40.39,32.87,0.64,0.972,0.0,1.0,0.0,-0.3925,0.0,4240.88,3109.96,2024-08
2024-08-23,SKU-100030,West,31,32.39,0,0,0,0,0.2,1970-01-02,Kitchen,30.06,129.52,0.22,0.931,0.0,1.0,1.0,0.5775,0.0,1004.09,72.23000000000006,2024-08
2024-08-23,SKU-100123,West,34,133.18,0,0,0,0,1.28,1970-01-06,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,1.0,0.5775,0.0,4528.12,2691.1000000000004,2024-08
2024-08-23,SKU-100203,East,23,193.34,0,0,0,0,-1.8,1970-01-09,Home,118.88,33.69,0.21,0.975,0.0,1.0,1.0,0.5775,0.0,4446.82,1712.5800000000002,2024-08
2024-08-23,SKU-100263,West,25,149.24,0,0,0,0,0.31,1970-01-11,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,1.0,0.5775,0.0,3731.0,2765.0,2024-08
2024-08-23,SKU-100677,North,63,77.99,0,1,0,0,2.14,1970-01-29,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,1.0,0.5775,0.0,4913.37,2479.0499999999997,2024-08
2024-08-23,SKU-100851,East,38,161.82,0,1,0,0,-0.39,1970-02-05,Home,118.88,33.69,0.21,0.975,0.0,1.0,1.0,0.5775,0.0,6149.16,1631.7199999999998,2024-08
2024-08-24,SKU-100090,South,47,93.96,0,0,1,0,-0.38,1970-01-04,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,0.0,-0.10666666666666665,1.0,4416.12,2020.06,2024-08
2024-08-24,SKU-100171,South,18,130.6,0,0,1,0,0.21,1970-01-08,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,-0.10666666666666665,1.0,2350.7999999999997,1495.4399999999996,2024-08
2024-08-24,SKU-100290,West,55,42.38,0,0,1,0,1.51,1970-01-13,Toys,22.32,198.29,0.86,0.968,0.0,1.0,0.0,-0.10666666666666665,1.0,2330.9,1103.3000000000002,2024-08
2024-08-24,SKU-100904,South,61,33.98,0,1,1,0,-0.92,1970-02-07,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,-0.10666666666666665,1.0,2072.7799999999997,-4788.5,2024-08
2024-08-24,SKU-101010,North,34,101.14,0,1,1,0,3.32,1970-02-12,Toys,22.32,198.29,0.86,0.968,0.0,1.0,0.0,-0.10666666666666665,1.0,3438.76,2679.8799999999997,2024-08
2024-08-24,SKU-101085,North,53,197.71,0,1,1,0,0.0,1970-02-15,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,-0.10666666666666665,1.0,10478.630000000001,4177.990000000001,2024-08
2024-08-25,SKU-100759,West,42,164.44,0,1,1,0,0.4,1970-02-01,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,0.10250000000000001,1.0,6906.48,4308.78,2024-08
2024-08-25,SKU-100776,East,60,188.8,0,1,1,0,-0.09,1970-02-02,Toys,22.32,198.29,0.86,0.968,0.0,1.0,0.0,0.10250000000000001,1.0,11328.0,9988.800000000001,2024-08
2024-08-25,SKU-100980,South,22,125.57,0,1,1,0,0.21,1970-02-10,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,0.10250000000000001,1.0,2762.54,642.3999999999997,2024-08
2024-08-26,SKU-100294,West,47,185.76,0,0,0,0,-2.09,1970-01-13,Electronics,82.88,157.93,0.66,0.952,0.0,1.0,1.0,0.2849999999999999,0.0,8730.72,4835.36,2024-08
2024-08-26,SKU-100621,West,34,31.81,0,0,0,0,-0.44,1970-01-26,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,1.0,0.2849999999999999,0.0,1081.54,-534.1400000000001,2024-08
2024-08-26,SKU-100815,South,34,185.65,0,1,0,0,-0.09,1970-02-03,Home,118.88,33.69,0.21,0.975,0.0,1.0,1.0,0.2849999999999999,0.0,6312.1,2270.1800000000003,2024-08
2024-08-26,SKU-101034,North,40,132.16,0,1,0,0,0.79,1970-02-13,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,1.0,0.2849999999999999,0.0,5286.4,1431.5999999999997,2024-08
2024-08-27,SKU-100033,North,43,43.41,0,0,0,0,1.1,1970-01-02,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,0.59,0.0,1866.6299999999999,-456.6600000000002,2024-08
2024-08-27,SKU-101391,East,71,41.51,0,1,0,0,-0.85,1970-02-27,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,0.59,0.0,2947.21,-5493.27,2024-08
2024-08-28,SKU-100198,South,18,110.14,0,0,0,0,0.42,1970-01-09,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,0.0,1.5325,0.0,1982.52,1064.88,2024-08
2024-08-28,SKU-100411,South,21,132.37,0,0,0,0,-0.15,1970-01-18,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,1.5325,0.0,2779.77,1645.14,2024-08
2024-08-28,SKU-100720,East,41,41.29,0,1,0,0,1.24,1970-01-31,Electronics,50.98,190.65,0.55,0.959,0.0,1.0,0.0,1.5325,0.0,1692.8899999999999,-397.2899999999999,2024-08
2024-08-28,SKU-100905,West,48,186.39,0,1,0,0,-0.52,1970-02-07,Home,118.88,33.69,0.21,0.975,0.0,1.0,0.0,1.5325,0.0,8946.72,3240.4799999999996,2024-08
2024-08-29,SKU-100858,South,46,187.11,0,1,0,0,0.4,1970-02-05,Kitchen,30.06,129.52,0.22,0.931,0.0,1.0,0.0,1.1133333333333333,0.0,8607.060000000001,7224.3,2024-08
2024-08-29,SKU-101217,East,51,165.03,0,1,0,0,0.0,1970-02-20,Kitchen,38.64,161.51,0.29,0.933,0.0,1.0,0.0,1.1133333333333333,0.0,8416.53,6445.89,2024-08
2024-08-29,SKU-101317,South,33,127.63,0,1,0,0,0.31,1970-02-24,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,1.1133333333333333,0.0,4211.79,2170.7400000000002,2024-08
2024-08-30,SKU-100567,North,61,199.45,0,0,0,1,0.35,1970-01-24,Electronics,47.52,108.9,0.08,0.975,0.0,1.0,0.0,-0.384,0.0,12166.449999999999,9267.73,2024-08
2024-08-30,SKU-101228,South,25,122.38,0,1,0,0,0.0,1970-02-21,Electronics,112.48,134.55,0.33,0.966,0.0,1.0,0.0,-0.384,0.0,3059.5,247.49999999999977,2024-08
2024-08-30,SKU-101376,West,72,79.11,0,1,0,0,0.39,1970-02-27,Electronics,96.37,130.18,0.12,0.949,0.0,1.0,0.0,-0.384,0.0,5695.92,-1242.7200000000003,2024-08
2024-08-31,SKU-100345,North,72,188.74,0,0,1,0,0.21,1970-01-15,Beauty,61.85,78.7,0.76,0.931,0.0,1.0,0.0,-0.594,1.0,13589.28,9136.080000000002,2024-08
2024-08-31,SKU-100614,South,18,181.23,0,0,1,0,-1.18,1970-01-26,Toys,22.32,198.29,0.86,0.968,0.0,1.0,0.0,-0.594,1.0,3262.14,2860.38,2024-08
2024-08-31,SKU-100736,South,24,83.83,0,0,1,0,-0.44,1970-01-31,Pet,119.39,197.26,0.68,0.987,0.0,1.0,0.0,-0.594,1.0,2011.92,-853.44,2024-08
2024-09-01,SKU-100197,South,42,34.12,0,0,1,0,1.94,1970-01-09,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,-0.286,1.0,1433.04,-2168.04,2024-09
2024-09-01,SKU-100413,West,29,186.21,0,0,1,0,-1.8,1970-01-18,Home,85.74,189.02,1.49,0.954,0.0,1.0,0.0,-0.286,1.0,5400.09,2913.6300000000006,2024-09
2024-09-01,SKU-100483,East,43,194.12,0,0,1,0,1.51,1970-01-21,Electronics,54.03,86.74,0.58,0.976,0.0,1.0,0.0,-0.286,1.0,8347.16,6023.87,2024-09
