sku_id,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level
SKU-100039,Beauty,61.85,78.7,0.76,0.931
SKU-100040,Electronics,112.48,134.55,0.33,0.966
SKU-100041,Home,118.88,33.69,0.21,0.975
SKU-100042,Electronics,82.88,157.93,0.66,0.952
SKU-100043,Kitchen,40.39,32.87,0.64,0.972
SKU-100044,Electronics,96.37,130.18,0.12,0.949
SKU-100045,Electronics,47.52,108.9,0.08,0.975
SKU-100046,Pet,68.29,97.95,0.38,0.978
SKU-100047,Kitchen,38.64,161.51,0.29,0.933
SKU-100048,Kitchen,30.06,129.52,0.22,0.931
SKU-100049,Toys,119.1,158.8,0.61,0.973
SKU-100050,Pet,39.01,44.01,0.77,0.983
SKU-100051,Electronics,54.03,86.74,0.58,0.976
SKU-100052,Pet,119.39,197.26,0.68,0.987
SKU-100053,Home,85.74,189.02,1.49,0.954
SKU-100054,Electronics,50.98,190.65,0.55,0.959
SKU-100055,Toys,14.98,175.66,1.79,0.972
SKU-100056,Toys,22.32,198.29,0.86,0.968
SKU-100057,Beauty,61.85,78.7,0.76,0.931
SKU-100058,Electronics,112.48,134.55,0.33,0.966
SKU-100059,Home,118.88,33.69,0.21,0.975
SKU-100060,Electronics,82.88,157.93,0.66,0.952
SKU-100061,Kitchen,40.39,32.87,0.64,0.972
SKU-100062,Electronics,96.37,130.18,0.12,0.949
SKU-100063,Electronics,47.52,108.9,0.08,0.975
SKU-100064,Pet,68.29,97.95,0.38,0.978
SKU-100065,Kitchen,38.64,161.51,0.29,0.933
SKU-100066,Kitchen,30.06,129.52,0.22,0.931
SKU-100067,Toys,119.1,158.8,0.61,0.973
SKU-100068,Pet,39.01,44.01,0.77,0.983
SKU-100069,Electronics,54.03,86.74,0.58,0.976
SKU-100070,Pet,119.39,197.26,0.68,0.987
SKU-100071,Home,85.74,189.02,1.49,0.954
SKU-100072,Electronics,50.98,190.65,0.55,0.959
SKU-100073,Toys,14.98,175.66,1.79,0.972
SKU-100074,Toys,22.32,198.29,0.86,0.968
SKU-100075,Beauty,61.85,78.7,0.76,0.931
SKU-100076,Electronics,112.48,134.55,0.33,0.966
SKU-100077,Home,118.88,33.69,0.21,0.975
SKU-100078,Electronics,82.88,157.93,0.66,0.952
SKU-100079,Kitchen,40.39,32.87,0.64,0.972
SKU-100080,Electronics,96.37,130.18,0.12,0.949
SKU-100081,Electronics,47.52,108.9,0.08,0.975
SKU-100082,Pet,68.29,97.95,0.38,0.978
SKU-100083,Kitchen,38.64,161.51,0.29,0.933
SKU-100084,Kitchen,30.06,129.52,0.22,0.931
SKU-100085,Toys,119.1,158.8,0.61,0.973
SKU-100086,Pet,39.01,44.01,0.77,0.983
SKU-100087,Electronics,54.03,86.74,0.58,0.976
SKU-100088,Pet,119.39,197.26,0.68,0.987
SKU-100089,Home,85.74,189.02,1.49,0.954
SKU-100090,Electronics,50.98,190.65,0.55,0.959
SKU-100091,Toys,14.98,175.66,1.79,0.972
SKU-100092,Toys,22.32,198.29,0.86,0.968
SKU-100093,Beauty,61.85,78.7,0.76,0.931
SKU-100094,Electronics,112.48,134.55,0.33,0.966
SKU-100095,Home,118.88,33.69,0.21,0.975
SKU-100096,Electronics,82.88,157.93,0.66,0.952
SKU-100097,Kitchen,40.39,32.87,0.64,0.972
SKU-100098,Electronics,96.37,130.18,0.12,0.949
SKU-100099,Electronics,47.52,108.9,0.08,0.975
SKU-100100,Pet,68.29,97.95,0.38,0.978
SKU-100101,Kitchen,38.64,161.51,0.29,0.933
SKU-100102,Kitchen,30.06,129.52,0.22,0.931
SKU-100103,Toys,119.1,158.8,0.61,0.973
SKU-100104,Pet,39.01,44.01,0.77,0.983
SKU-100105,Electronics,54.03,86.74,0.58,0.976
SKU-100106,Pet,119.39,197.26,0.68,0.987
SKU-100107,Home,85.74,189.02,1.49,0.954
SKU-100108,Electronics,50.98,190.65,0.55,0.959
SKU-100109,Toys,14.98,175.66,1.79,0.972
SKU-100110,Toys,22.32,198.29,0.86,0.968
SKU-100111,Beauty,61.85,78.7,0.76,0.931
SKU-100112,Electronics,112.48,134.55,0.33,0.966
SKU-100113,Home,118.88,33.69,0.21,0.975
SKU-100114,Electronics,82.88,157.93,0.66,0.952
SKU-100115,Kitchen,40.39,32.87,0.64,0.972
SKU-100116,Electronics,96.37,130.18,0.12,0.949
SKU-100117,Electronics,47.52,108.9,0.08,0.975
SKU-100118,Pet,68.29,97.95,0.38,0.978
SKU-100119,Kitchen,38.64,161.51,0.29,0.933
SKU-100120,Kitchen,30.06,129.52,0.22,0.931
SKU-100121,Toys,119.1,158.8,0.61,0.973
SKU-100122,Pet,39.01,44.01,0.77,0.983
SKU-100123,Electronics,54.03,86.74,0.58,0.976
SKU-100124,Pet,119.39,197.26,0.68,0.987
SKU-100125,Home,85.74,189.02,1.49,0.954
SKU-100126,Electronics,50.98,190.65,0.55,0.959
SKU-100127,Toys,14.98,175.66,1.79,0.972
SKU-100128,Toys,22.32,198.29,0.86,0.968
SKU-100129,Beauty,61.85,78.7,0.76,0.931
SKU-100130,Electronics,112.48,134.55,0.33,0.966
SKU-100131,Home,118.88,33.69,0.21,0.975
SKU-100132,Electronics,82.88,157.93,0.66,0.952
SKU-100133,Kitchen,40.39,32.87,0.64,0.972
SKU-100134,Electronics,96.37,130.18,0.12,0.949
SKU-100135,Electronics,47.52,108.9,0.08,0.975
SKU-100136,Pet,68.29,97.95,0.38,0.978
SKU-100137,Kitchen,38.64,161.51,0.29,0.933
SKU-100138,Kitchen,30.06,129.52,0.22,0.931
SKU-100139,Toys,119.1,158.8,0.61,0.973
SKU-100140,Pet,39.01,44.01,0.77,0.983
SKU-100141,Electronics,54.03,86.74,0.58,0.976
SKU-100142,Pet,119.39,197.26,0.68,0.987
SKU-100143,Home,85.74,189.02,1.49,0.954
SKU-100144,Electronics,50.98,190.65,0.55,0.959
SKU-100145,Toys,14.98,175.66,1.79,0.972
SKU-100146,Toys,22.32,198.29,0.86,0.968
SKU-100147,Beauty,61.85,78.7,0.76,0.931
SKU-100148,Electronics,112.48,134.55,0.33,0.966
SKU-100149,Home,118.88,33.69,0.21,0.975
SKU-100150,Electronics,82.88,157.93,0.66,0.952
SKU-100151,Kitchen,40.39,32.87,0.64,0.972
SKU-100152,Electronics,96.37,130.18,0.12,0.949
SKU-100153,Electronics,47.52,108.9,0.08,0.975
SKU-100154,Pet,68.29,97.95,0.38,0.978
SKU-100155,Kitchen,38.64,161.51,0.29,0.933
SKU-100156,Kitchen,30.06,129.52,0.22,0.931
SKU-100157,Toys,119.1,158.8,0.61,0.973
SKU-100158,Pet,39.01,44.01,0.77,0.983
SKU-100159,Electronics,54.03,86.74,0.58,0.976
SKU-100160,Pet,119.39,197.26,0.68,0.987
SKU-100161,Home,85.74,189.02,1.49,0.954
SKU-100162,Electronics,50.98,190.65,0.55,0.959
SKU-100163,Toys,14.98,175.66,1.79,0.972
SKU-100164,Toys,22.32,198.29,0.86,0.968
SKU-100165,Beauty,61.85,78.7,0.76,0.931
SKU-100166,Electronics,112.48,134.55,0.33,0.966
SKU-100167,Home,118.88,33.69,0.21,0.975
SKU-100168,Electronics,82.88,157.93,0.66,0.952
SKU-100169,Kitchen,40.39,32.87,0.64,0.972
SKU-100170,Electronics,96.37,130.18,0.12,0.949
SKU-100171,Electronics,47.52,108.9,0.08,0.975
SKU-100172,Pet,68.29,97.95,0.38,0.978
SKU-100173,Kitchen,38.64,161.51,0.29,0.933
SKU-100174,Kitchen,30.06,129.52,0.22,0.931
SKU-100175,Toys,119.1,158.8,0.61,0.973
SKU-100176,Pet,39.01,44.01,0.77,0.983
SKU-100177,Electronics,54.03,86.74,0.58,0.976
SKU-100178,Pet,119.39,197.26,0.68,0.987
SKU-100179,Home,85.74,189.02,1.49,0.954
SKU-100180,Electronics,50.98,190.65,0.55,0.959
SKU-100181,Toys,14.98,175.66,1.79,0.972
SKU-100182,Toys,22.32,198.29,0.86,0.968
SKU-100183,Beauty,61.85,78.7,0.76,0.931
SKU-100184,Electronics,112.48,134.55,0.33,0.966
SKU-100185,Home,118.88,33.69,0.21,0.975
SKU-100186,Electronics,82.88,157.93,0.66,0.952
SKU-100187,Kitchen,40.39,32.87,0.64,0.972
SKU-100188,Electronics,96.37,130.18,0.12,0.949
SKU-100189,Electronics,47.52,108.9,0.08,0.975
SKU-100190,Pet,68.29,97.95,0.38,0.978
SKU-100191,Kitchen,38.64,161.51,0.29,0.933
SKU-100192,Kitchen,30.06,129.52,0.22,0.931
SKU-100193,Toys,119.1,158.8,0.61,0.973
SKU-100194,Pet,39.01,44.01,0.77,0.983
SKU-100195,Electronics,54.03,86.74,0.58,0.976
SKU-100196,Pet,119.39,197.26,0.68,0.987
SKU-100197,Home,85.74,189.02,1.49,0.954
SKU-100198,Electronics,50.98,190.65,0.55,0.959
SKU-100199,Toys,14.98,175.66,1.79,0.972
SKU-100200,Toys,22.32,198.29,0.86,0.968
SKU-100201,Beauty,61.85,78.7,0.76,0.931
SKU-100202,Electronics,112.48,134.55,0.33,0.966
SKU-100203,Home,118.88,33.69,0.21,0.975
SKU-100204,Electronics,82.88,157.93,0.66,0.952
SKU-100205,Kitchen,40.39,32.87,0.64,0.972
SKU-100206,Electronics,96.37,130.18,0.12,0.949
SKU-100207,Electronics,47.52,108.9,0.08,0.975
SKU-100208,Pet,68.29,97.95,0.38,0.978
SKU-100209,Kitchen,38.64,161.51,0.29,0.933
SKU-100210,Kitchen,30.06,129.52,0.22,0.931
SKU-100211,Toys,119.1,158.8,0.61,0.973
SKU-100212,Pet,39.01,44.01,0.77,0.983
SKU-100213,Electronics,54.03,86.74,0.58,0.976
SKU-100214,Pet,119.39,197.26,0.68,0.987
SKU-100215,Home,85.74,189.02,1.49,0.954
SKU-100216,Electronics,50.98,190.65,0.55,0.959
SKU-100217,Toys,14.98,175.66,1.79,0.972
SKU-100218,Toys,22.32,198.29,0.86,0.968
SKU-100219,Beauty,61.85,78.7,0.76,0.931
SKU-100220,Electronics,112.48,134.55,0.33,0.966
SKU-100221,Home,118.88,33.69,0.21,0.975
SKU-100222,Electronics,82.88,157.93,0.66,0.952
SKU-100223,Kitchen,40.39,32.87,0.64,0.972
SKU-100224,Electronics,96.37,130.18,0.12,0.949
SKU-100225,Electronics,47.52,108.9,0.08,0.975
SKU-100226,Pet,68.29,97.95,0.38,0.978
SKU-100227,Kitchen,38.64,161.51,0.29,0.933
SKU-100228,Kitchen,30.06,129.52,0.22,0.931
SKU-100229,Toys,119.1,158.8,0.61,0.973
SKU-100230,Pet,39.01,44.01,0.77,0.983
SKU-100231,Electronics,54.03,86.74,0.58,0.976
SKU-100232,Pet,119.39,197.26,0.68,0.987
SKU-100233,Home,85.74,189.02,1.49,0.954
SKU-100234,Electronics,50.98,190.65,0.55,0.959
SKU-100235,Toys,14.98,175.66,1.79,0.972
SKU-100236,Toys,22.32,198.29,0.86,0.968
SKU-100237,Beauty,61.85,78.7,0.76,0.931
SKU-100238,Electronics,112.48,134.55,0.33,0.966
SKU-100239,Home,118.88,33.69,0.21,0.975
SKU-100240,Electronics,82.88,157.93,0.66,0.952
SKU-100241,Kitchen,40.39,32.87,0.64,0.972
SKU-100242,Electronics,96.37,130.18,0.12,0.949
SKU-100243,Electronics,47.52,108.9,0.08,0.975
SKU-100244,Pet,68.29,97.95,0.38,0.978
SKU-100245,Kitchen,38.64,161.51,0.29,0.933
SKU-100246,Kitchen,30.06,129.52,0.22,0.931
SKU-100247,Toys,119.1,158.8,0.61,0.973
SKU-100248,Pet,39.01,44.01,0.77,0.983
SKU-100249,Electronics,54.03,86.74,0.58,0.976
SKU-100250,Pet,119.39,197.26,0.68,0.987
SKU-100251,Home,85.74,189.02,1.49,0.954
SKU-100252,Electronics,50.98,190.65,0.55,0.959
SKU-100253,Toys,14.98,175.66,1.79,0.972
SKU-100254,Toys,22.32,198.29,0.86,0.968
SKU-100255,Beauty,61.85,78.7,0.76,0.931
SKU-100256,Electronics,112.48,134.55,0.33,0.966
SKU-100257,Home,118.88,33.69,0.21,0.975
SKU-100258,Electronics,82.88,157.93,0.66,0.952
SKU-100259,Kitchen,40.39,32.87,0.64,0.972
SKU-100260,Electronics,96.37,130.18,0.12,0.949
SKU-100261,Electronics,47.52,108.9,0.08,0.975
SKU-100262,Pet,68.29,97.95,0.38,0.978
SKU-100263,Kitchen,38.64,161.51,0.29,0.933
SKU-100264,Kitchen,30.06,129.52,0.22,0.931
SKU-100265,Toys,119.1,158.8,0.61,0.973
SKU-100266,Pet,39.01,44.01,0.77,0.983
SKU-100267,Electronics,54.03,86.74,0.58,0.976
SKU-100268,Pet,119.39,197.26,0.68,0.987
SKU-100269,Home,85.74,189.02,1.49,0.954
SKU-100270,Electronics,50.98,190.65,0.55,0.959
SKU-100271,Toys,14.98,175.66,1.79,0.972
SKU-100272,Toys,22.32,198.29,0.86,0.968
SKU-100273,Beauty,61.85,78.7,0.76,0.931
SKU-100274,Electronics,112.48,134.55,0.33,0.966
SKU-100275,Home,118.88,33.69,0.21,0.975
SKU-100276,Electronics,82.88,157.93,0.66,0.952
SKU-100277,Kitchen,40.39,32.87,0.64,0.972
SKU-100278,Electronics,96.37,130.18,0.12,0.949
SKU-100279,Electronics,47.52,108.9,0.08,0.975
SKU-100280,Pet,68.29,97.95,0.38,0.978
SKU-100281,Kitchen,38.64,161.51,0.29,0.933
SKU-100282,Kitchen,30.06,129.52,0.22,0.931
SKU-100283,Toys,119.1,158.8,0.61,0.973
SKU-100284,Pet,39.01,44.01,0.77,0.983
SKU-100285,Electronics,54.03,86.74,0.58,0.976
SKU-100286,Pet,119.39,197.26,0.68,0.987
SKU-100287,Home,85.74,189.02,1.49,0.954
SKU-100288,Electronics,50.98,190.65,0.55,0.959
SKU-100289,Toys,14.98,175.66,1.79,0.972
SKU-100290,Toys,22.32,198.29,0.86,0.968
SKU-100291,Beauty,61.85,78.7,0.76,0.931
SKU-100292,Electronics,112.48,134.55,0.33,0.966
SKU-100293,Home,118.88,33.69,0.21,0.975
SKU-100294,Electronics,82.88,157.93,0.66,0.952
SKU-100295,Kitchen,40.39,32.87,0.64,0.972
SKU-100296,Electronics,96.37,130.18,0.12,0.949
SKU-100297,Electronics,47.52,108.9,0.08,0.975
SKU-100298,Pet,68.29,97.95,0.38,0.978
SKU-100299,Kitchen,38.64,161.51,0.29,0.933
SKU-100300,Kitchen,30.06,129.52,0.22,0.931
SKU-100301,Toys,119.1,158.8,0.61,0.973
SKU-100302,Pet,39.01,44.01,0.77,0.983
SKU-100303,Electronics,54.03,86.74,0.58,0.976
SKU-100304,Pet,119.39,197.26,0.68,0.987
SKU-100305,Home,85.74,189.02,1.49,0.954
SKU-100306,Electronics,50.98,190.65,0.55,0.959
SKU-100307,Toys,14.98,175.66,1.79,0.972
SKU-100308,Toys,22.32,198.29,0.86,0.968
SKU-100309,Beauty,61.85,78.7,0.76,0.931
SKU-100310,Electronics,112.48,134.55,0.33,0.966
SKU-100311,Home,118.88,33.69,0.21,0.975
SKU-100312,Electronics,82.88,157.93,0.66,0.952
SKU-100313,Kitchen,40.39,32.87,0.64,0.972
SKU-100314,Electronics,96.37,130.18,0.12,0.949
SKU-100315,Electronics,47.52,108.9,0.08,0.975
SKU-100316,Pet,68.29,97.95,0.38,0.978
SKU-100317,Kitchen,38.64,161.51,0.29,0.933
SKU-100318,Kitchen,30.06,129.52,0.22,0.931
SKU-100319,Toys,119.1,158.8,0.61,0.973
SKU-100320,Pet,39.01,44.01,0.77,0.983
SKU-100321,Electronics,54.03,86.74,0.58,0.976
SKU-100322,Pet,119.39,197.26,0.68,0.987
SKU-100323,Home,85.74,189.02,1.49,0.954
SKU-100324,Electronics,50.98,190.65,0.55,0.959
SKU-100325,Toys,14.98,175.66,1.79,0.972
SKU-100326,Toys,22.32,198.29,0.86,0.968
SKU-100327,Beauty,61.85,78.7,0.76,0.931
SKU-100328,Electronics,112.48,134.55,0.33,0.966
SKU-100329,Home,118.88,33.69,0.21,0.975
SKU-100330,Electronics,82.88,157.93,0.66,0.952
SKU-100331,Kitchen,40.39,32.87,0.64,0.972
SKU-100332,Electronics,96.37,130.18,0.12,0.949
SKU-100333,Electronics,47.52,108.9,0.08,0.975
SKU-100334,Pet,68.29,97.95,0.38,0.978
SKU-100335,Kitchen,38.64,161.51,0.29,0.933
SKU-100336,Kitchen,30.06,129.52,0.22,0.931
SKU-100337,Toys,119.1,158.8,0.61,0.973
SKU-100338,Pet,39.01,44.01,0.77,0.983
SKU-100339,Electronics,54.03,86.74,0.58,0.976
SKU-100340,Pet,119.39,197.26,0.68,0.987
SKU-100341,Home,85.74,189.02,1.49,0.954
SKU-100342,Electronics,50.98,190.65,0.55,0.959
SKU-100343,Toys,14.98,175.66,1.79,0.972
SKU-100344,Toys,22.32,198.29,0.86,0.968
SKU-100345,Beauty,61.85,78.7,0.76,0.931
SKU-100346,Electronics,112.48,134.55,0.33,0.966
SKU-100347,Home,118.88,33.69,0.21,0.975
SKU-100348,Electronics,82.88,157.93,0.66,0.952
SKU-100349,Kitchen,40.39,32.87,0.64,0.972
SKU-100350,Electronics,96.37,130.18,0.12,0.949
SKU-100351,Electronics,47.52,108.9,0.08,0.975
SKU-100352,Pet,68.29,97.95,0.38,0.978
SKU-100353,Kitchen,38.64,161.51,0.29,0.933
SKU-100354,Kitchen,30.06,129.52,0.22,0.931
SKU-100355,Toys,119.1,158.8,0.61,0.973
SKU-100356,Pet,39.01,44.01,0.77,0.983
SKU-100357,Electronics,54.03,86.74,0.58,0.976
SKU-100358,Pet,119.39,197.26,0.68,0.987
SKU-100359,Home,85.74,189.02,1.49,0.954
SKU-100360,Electronics,50.98,190.65,0.55,0.959
SKU-100361,Toys,14.98,175.66,1.79,0.972
SKU-100362,Toys,22.32,198.29,0.86,0.968
SKU-100363,Beauty,61.85,78.7,0.76,0.931
SKU-100364,Electronics,112.48,134.55,0.33,0.966
SKU-100365,Home,118.88,33.69,0.21,0.975
SKU-100366,Electronics,82.88,157.93,0.66,0.952
SKU-100367,Kitchen,40.39,32.87,0.64,0.972
SKU-100368,Electronics,96.37,130.18,0.12,0.949
SKU-100369,Electronics,47.52,108.9,0.08,0.975
SKU-100370,Pet,68.29,97.95,0.38,0.978
SKU-100371,Kitchen,38.64,161.51,0.29,0.933
SKU-100372,Kitchen,30.06,129.52,0.22,0.931
SKU-100373,Toys,119.1,158.8,0.61,0.973
SKU-100374,Pet,39.01,44.01,0.77,0.983
SKU-100375,Electronics,54.03,86.74,0.58,0.976
SKU-100376,Pet,119.39,197.26,0.68,0.987
SKU-100377,Home,85.74,189.02,1.49,0.954
SKU-100378,Electronics,50.98,190.65,0.55,0.959
SKU-100379,Toys,14.98,175.66,1.79,0.972
SKU-100380,Toys,22.32,198.29,0.86,0.968
SKU-100381,Beauty,61.85,78.7,0.76,0.931
SKU-100382,Electronics,112.48,134.55,0.33,0.966
SKU-100383,Home,118.88,33.69,0.21,0.975
SKU-100384,Electronics,82.88,157.93,0.66,0.952
SKU-100385,Kitchen,40.39,32.87,0.64,0.972
SKU-100386,Electronics,96.37,130.18,0.12,0.949
SKU-100387,Electronics,47.52,108.9,0.08,0.975
SKU-100388,Pet,68.29,97.95,0.38,0.978
SKU-100389,Kitchen,38.64,161.51,0.29,0.933
SKU-100390,Kitchen,30.06,129.52,0.22,0.931
SKU-100391,Toys,119.1,158.8,0.61,0.973
SKU-100392,Pet,39.01,44.01,0.77,0.983
SKU-100393,Electronics,54.03,86.74,0.58,0.976
SKU-100394,Pet,119.39,197.26,0.68,0.987
SKU-100395,Home,85.74,189.02,1.49,0.954
SKU-100396,Electronics,50.98,190.65,0.55,0.959
SKU-100397,Toys,14.98,175.66,1.79,0.972
SKU-100398,Toys,22.32,198.29,0.86,0.968
SKU-100399,Beauty,61.85,78.7,0.76,0.931
SKU-100400,Electronics,112.48,134.55,0.33,0.966
SKU-100401,Home,118.88,33.69,0.21,0.975
SKU-100402,Electronics,82.88,157.93,0.66,0.952
SKU-100403,Kitchen,40.39,32.87,0.64,0.972
SKU-100404,Electronics,96.37,130.18,0.12,0.949
SKU-100405,Electronics,47.52,108.9,0.08,0.975
SKU-100406,Pet,68.29,97.95,0.38,0.978
SKU-100407,Kitchen,38.64,161.51,0.29,0.933
SKU-100408,Kitchen,30.06,129.52,0.22,0.931
SKU-100409,Toys,119.1,158.8,0.61,0.973
SKU-100410,Pet,39.01,44.01,0.77,0.983
SKU-100411,Electronics,54.03,86.74,0.58,0.976
SKU-100412,Pet,119.39,197.26,0.68,0.987
SKU-100413,Home,85.74,189.02,1.49,0.954
SKU-100414,Electronics,50.98,190.65,0.55,0.959
SKU-100415,Toys,14.98,175.66,1.79,0.972
SKU-100416,Toys,22.32,198.29,0.86,0.968
SKU-100417,Beauty,61.85,78.7,0.76,0.931
SKU-100418,Electronics,112.48,134.55,0.33,0.966
SKU-100419,Home,118.88,33.69,0.21,0.975
SKU-100420,Electronics,82.88,157.93,0.66,0.952
SKU-100421,Kitchen,40.39,32.87,0.64,0.972
SKU-100422,Electronics,96.37,130.18,0.12,0.949
SKU-100423,Electronics,47.52,108.9,0.08,0.975
SKU-100424,Pet,68.29,97.95,0.38,0.978
SKU-100425,Kitchen,38.64,161.51,0.29,0.933
SKU-100426,Kitchen,30.06,129.52,0.22,0.931
SKU-100427,Toys,119.1,158.8,0.61,0.973
SKU-100428,Pet,39.01,44.01,0.77,0.983
SKU-100429,Electronics,54.03,86.74,0.58,0.976
SKU-100430,Pet,119.39,197.26,0.68,0.987
SKU-100431,Home,85.74,189.02,1.49,0.954
SKU-100432,Electronics,50.98,190.65,0.55,0.959
SKU-100433,Toys,14.98,175.66,1.79,0.972
SKU-100434,Toys,22.32,198.29,0.86,0.968
SKU-100435,Beauty,61.85,78.7,0.76,0.931
SKU-100436,Electronics,112.48,134.55,0.33,0.966
SKU-100437,Home,118.88,33.69,0.21,0.975
SKU-100438,Electronics,82.88,157.93,0.66,0.952
SKU-100439,Kitchen,40.39,32.87,0.64,0.972
SKU-100440,Electronics,96.37,130.18,0.12,0.949
SKU-100441,Electronics,47.52,108.9,0.08,0.975
SKU-100442,Pet,68.29,97.95,0.38,0.978
SKU-100443,Kitchen,38.64,161.51,0.29,0.933
SKU-100444,Kitchen,30.06,129.52,0.22,0.931
SKU-100445,Toys,119.1,158.8,0.61,0.973
SKU-100446,Pet,39.01,44.01,0.77,0.983
SKU-100447,Electronics,54.03,86.74,0.58,0.976
SKU-100448,Pet,119.39,197.26,0.68,0.987
SKU-100449,Home,85.74,189.02,1.49,0.954
SKU-100450,Electronics,50.98,190.65,0.55,0.959
SKU-100451,Toys,14.98,175.66,1.79,0.972
SKU-100452,Toys,22.32,198.29,0.86,0.968
SKU-100453,Beauty,61.85,78.7,0.76,0.931
SKU-100454,Electronics,112.48,134.55,0.33,0.966
SKU-100455,Home,118.88,33.69,0.21,0.975
SKU-100456,Electronics,82.88,157.93,0.66,0.952
SKU-100457,Kitchen,40.39,32.87,0.64,0.972
SKU-100458,Electronics,96.37,130.18,0.12,0.949
SKU-100459,Electronics,47.52,108.9,0.08,0.975
SKU-100460,Pet,68.29,97.95,0.38,0.978
SKU-100461,Kitchen,38.64,161.51,0.29,0.933
SKU-100462,Kitchen,30.06,129.52,0.22,0.931
SKU-100463,Toys,119.1,158.8,0.61,0.973
SKU-100464,Pet,39.01,44.01,0.77,0.983
SKU-100465,Electronics,54.03,86.74,0.58,0.976
SKU-100466,Pet,119.39,197.26,0.68,0.987
SKU-100467,Home,85.74,189.02,1.49,0.954
SKU-100468,Electronics,50.98,190.65,0.55,0.959
SKU-100469,Toys,14.98,175.66,1.79,0.972
SKU-100470,Toys,22.32,198.29,0.86,0.968
SKU-100471,Beauty,61.85,78.7,0.76,0.931
SKU-100472,Electronics,112.48,134.55,0.33,0.966
SKU-100473,Home,118.88,33.69,0.21,0.975
SKU-100474,Electronics,82.88,157.93,0.66,0.952
SKU-100475,Kitchen,40.39,32.87,0.64,0.972
SKU-100476,Electronics,96.37,130.18,0.12,0.949
SKU-100477,Electronics,47.52,108.9,0.08,0.975
SKU-100478,Pet,68.29,97.95,0.38,0.978
SKU-100479,Kitchen,38.64,161.51,0.29,0.933
SKU-100480,Kitchen,30.06,129.52,0.22,0.931
SKU-100481,Toys,119.1,158.8,0.61,0.973
SKU-100482,Pet,39.01,44.01,0.77,0.983
SKU-100483,Electronics,54.03,86.74,0.58,0.976
SKU-100484,Pet,119.39,197.26,0.68,0.987
SKU-100485,Home,85.74,189.02,1.49,0.954
SKU-100486,Electronics,50.98,190.65,0.55,0.959
SKU-100487,Toys,14.98,175.66,1.79,0.972
SKU-100488,Toys,22.32,198.29,0.86,0.968
SKU-100489,Beauty,61.85,78.7,0.76,0.931
SKU-100490,Electronics,112.48,134.55,0.33,0.966
SKU-100491,Home,118.88,33.69,0.21,0.975
SKU-100492,Electronics,82.88,157.93,0.66,0.952
SKU-100493,Kitchen,40.39,32.87,0.64,0.972
SKU-100494,Electronics,96.37,130.18,0.12,0.949
SKU-100495,Electronics,47.52,108.9,0.08,0.975
SKU-100496,Pet,68.29,97.95,0.38,0.978
SKU-100497,Kitchen,38.64,161.51,0.29,0.933
SKU-100498,Kitchen,30.06,129.52,0.22,0.931
SKU-100499,Toys,119.1,158.8,0.61,0.973
SKU-100500,Pet,39.01,44.01,0.77,0.983
SKU-100501,Electronics,54.03,86.74,0.58,0.976
SKU-100502,Pet,119.39,197.26,0.68,0.987
SKU-100503,Home,85.74,189.02,1.49,0.954
