week,sku_id,region,units_ordered,week_raw
2024-07-01,SKU-100049,North,348,2024-07-03
2024-07-01,SKU-100050,South,261,2024-07-03
2024-07-01,SKU-100051,West,307,2024-07-03
2024-07-01,SKU-100052,East,483,2024-07-03
2024-07-01,SKU-100053,North,468,2024-07-03
2024-07-01,SKU-100054,South,332,2024-07-03
2024-07-01,SKU-100055,West,381,2024-07-03
2024-07-01,SKU-100056,East,439,2024-07-03
2024-07-01,SKU-100057,North,446,2024-07-03
2024-07-01,SKU-100058,South,420,2024-07-03
2024-07-01,SKU-100059,West,422,2024-07-03
2024-07-01,SKU-100060,East,271,2024-07-03
2024-07-01,SKU-100061,North,248,2024-07-03
2024-07-01,SKU-100062,South,208,2024-07-03
2024-07-01,SKU-100063,West,229,2024-07-03
2024-07-01,SKU-100064,East,497,2024-07-03
2024-07-01,SKU-100065,North,459,2024-07-03
2024-07-01,SKU-100066,South,403,2024-07-03
2024-07-01,SKU-100067,West,447,2024-07-03
2024-07-01,SKU-100068,East,394,2024-07-03
2024-07-01,SKU-100069,North,370,2024-07-03
2024-07-01,SKU-100070,South,322,2024-07-03
2024-07-01,SKU-100071,West,359,2024-07-03
2024-07-08,SKU-100072,East,250,2024-07-11
2024-07-08,SKU-100073,North,246,2024-07-11
2024-07-08,SKU-100074,South,195,2024-07-11
2024-07-08,SKU-100075,West,252,2024-07-11
2024-07-08,SKU-100076,East,511,2024-07-11
2024-07-08,SKU-100077,North,437,2024-07-11
2024-07-08,SKU-100078,South,408,2024-07-11
2024-07-08,SKU-100079,West,404,2024-07-11
2024-07-08,SKU-100080,East,442,2024-07-11
2024-07-08,SKU-100081,North,468,2024-07-11
2024-07-08,SKU-100082,South,375,2024-07-11
2024-07-08,SKU-100083,West,407,2024-07-11
2024-07-08,SKU-100084,East,480,2024-07-11
2024-07-08,SKU-100085,North,471,2024-07-11
2024-07-08,SKU-100086,South,431,2024-07-11
2024-07-08,SKU-100087,West,413,2024-07-11
2024-07-08,SKU-100088,East,252,2024-07-11
2024-07-08,SKU-100089,North,271,2024-07-11
2024-07-08,SKU-100090,South,213,2024-07-11
2024-07-08,SKU-100091,West,214,2024-07-11
2024-07-08,SKU-100092,East,386,2024-07-11
2024-07-08,SKU-100093,North,369,2024-07-11
2024-07-08,SKU-100094,South,313,2024-07-11
2024-07-08,SKU-100095,West,385,2024-07-11
2024-07-08,SKU-100096,East,283,2024-07-12
2024-07-08,SKU-100097,North,243,2024-07-12
2024-07-08,SKU-100098,South,207,2024-07-12
2024-07-08,SKU-100099,West,210,2024-07-12
2024-07-08,SKU-100100,East,313,2024-07-12
2024-07-08,SKU-100101,North,346,2024-07-12
2024-07-08,SKU-100102,South,277,2024-07-12
2024-07-08,SKU-100103,West,309,2024-07-12
2024-07-08,SKU-100104,East,255,2024-07-12
2024-07-08,SKU-100105,North,243,2024-07-12
2024-07-08,SKU-100106,South,200,2024-07-12
2024-07-08,SKU-100107,West,225,2024-07-12
2024-07-08,SKU-100108,East,273,2024-07-12
2024-07-08,SKU-100109,North,231,2024-07-12
2024-07-08,SKU-100110,South,204,2024-07-12
2024-07-08,SKU-100111,West,198,2024-07-12
2024-07-08,SKU-100112,East,476,2024-07-12
2024-07-08,SKU-100113,North,404,2024-07-12
2024-07-08,SKU-100114,South,375,2024-07-12
2024-07-08,SKU-100115,West,418,2024-07-12
2024-07-08,SKU-100116,East,364,2024-07-12
2024-07-08,SKU-100117,North,347,2024-07-12
2024-07-08,SKU-100118,South,268,2024-07-12
2024-07-08,SKU-100119,West,283,2024-07-12
2024-07-08,SKU-100120,East,333,2024-07-13
2024-07-08,SKU-100121,North,329,2024-07-13
2024-07-08,SKU-100122,South,257,2024-07-13
2024-07-08,SKU-100123,West,313,2024-07-13
2024-07-08,SKU-100124,East,478,2024-07-13
2024-07-08,SKU-100125,North,400,2024-07-13
2024-07-08,SKU-100126,South,316,2024-07-13
2024-07-08,SKU-100127,West,419,2024-07-13
2024-07-08,SKU-100128,East,495,2024-07-13
2024-07-08,SKU-100129,North,410,2024-07-13
2024-07-08,SKU-100130,South,386,2024-07-13
2024-07-08,SKU-100131,West,468,2024-07-13
2024-07-08,SKU-100132,East,265,2024-07-13
2024-07-08,SKU-100133,North,211,2024-07-13
2024-07-08,SKU-100134,South,195,2024-07-13
2024-07-08,SKU-100135,West,225,2024-07-13
2024-07-08,SKU-100136,East,437,2024-07-13
2024-07-08,SKU-100137,North,434,2024-07-13
2024-07-08,SKU-100138,South,348,2024-07-13
2024-07-08,SKU-100139,West,390,2024-07-13
2024-07-08,SKU-100140,East,394,2024-07-13
2024-07-08,SKU-100141,North,400,2024-07-13
2024-07-08,SKU-100142,South,349,2024-07-13
2024-07-08,SKU-100143,West,316,2024-07-13
2024-07-15,SKU-100144,East,249,2024-07-21
2024-07-15,SKU-100145,North,274,2024-07-21
2024-07-15,SKU-100146,South,206,2024-07-21
2024-07-15,SKU-100147,West,207,2024-07-21
2024-07-15,SKU-100148,East,441,2024-07-21
2024-07-15,SKU-100149,North,389,2024-07-21
2024-07-15,SKU-100150,South,368,2024-07-21
2024-07-15,SKU-100151,West,414,2024-07-21
2024-07-15,SKU-100152,East,466,2024-07-21
2024-07-15,SKU-100153,North,424,2024-07-21
2024-07-15,SKU-100154,South,352,2024-07-21
2024-07-15,SKU-100155,West,403,2024-07-21
2024-07-15,SKU-100156,East,488,2024-07-21
2024-07-15,SKU-100157,North,522,2024-07-21
2024-07-15,SKU-100158,South,438,2024-07-21
2024-07-15,SKU-100159,West,425,2024-07-21
2024-07-15,SKU-100160,East,258,2024-07-21
2024-07-15,SKU-100161,North,222,2024-07-21
2024-07-15,SKU-100162,South,196,2024-07-21
2024-07-15,SKU-100163,West,211,2024-07-21
2024-07-15,SKU-100164,East,421,2024-07-21
2024-07-15,SKU-100165,North,398,2024-07-21
2024-07-15,SKU-100166,South,320,2024-07-21
2024-07-15,SKU-100167,West,333,2024-07-21
2024-07-22,SKU-100168,East,247,2024-07-22
2024-07-22,SKU-100169,North,229,2024-07-22
2024-07-22,SKU-100170,South,237,2024-07-22
2024-07-22,SKU-100171,West,223,2024-07-22
2024-07-22,SKU-100172,East,322,2024-07-22
2024-07-22,SKU-100173,North,322,2024-07-22
2024-07-22,SKU-100174,South,264,2024-07-22
2024-07-22,SKU-100175,West,310,2024-07-22
2024-07-22,SKU-100176,East,231,2024-07-22
2024-07-22,SKU-100177,North,236,2024-07-22
2024-07-22,SKU-100178,South,210,2024-07-22
2024-07-22,SKU-100179,West,206,2024-07-22
2024-07-22,SKU-100180,East,240,2024-07-22
2024-07-22,SKU-100181,North,221,2024-07-22
2024-07-22,SKU-100182,South,218,2024-07-22
2024-07-22,SKU-100183,West,229,2024-07-22
2024-07-22,SKU-100184,East,406,2024-07-22
2024-07-22,SKU-100185,North,439,2024-07-22
2024-07-22,SKU-100186,South,382,2024-07-22
2024-07-22,SKU-100187,West,397,2024-07-22
2024-07-22,SKU-100188,East,336,2024-07-22
2024-07-22,SKU-100189,North,293,2024-07-22
2024-07-22,SKU-100190,South,303,2024-07-22
2024-07-22,SKU-100191,West,292,2024-07-22
2024-07-22,SKU-100192,East,336,2024-07-23
2024-07-22,SKU-100193,North,301,2024-07-23
2024-07-22,SKU-100194,South,271,2024-07-23
2024-07-22,SKU-100195,West,250,2024-07-23
2024-07-22,SKU-100196,East,430,2024-07-23
2024-07-22,SKU-100197,North,410,2024-07-23
2024-07-22,SKU-100198,South,367,2024-07-23
2024-07-22,SKU-100199,West,410,2024-07-23
2024-07-22,SKU-100200,East,428,2024-07-23
2024-07-22,SKU-100201,North,444,2024-07-23
2024-07-22,SKU-100202,South,401,2024-07-23
2024-07-22,SKU-100203,West,410,2024-07-23
2024-07-22,SKU-100204,East,235,2024-07-23
2024-07-22,SKU-100205,North,227,2024-07-23
2024-07-22,SKU-100206,South,210,2024-07-23
2024-07-22,SKU-100207,West,208,2024-07-23
2024-07-22,SKU-100208,East,482,2024-07-23
2024-07-22,SKU-100209,North,425,2024-07-23
2024-07-22,SKU-100210,South,362,2024-07-23
2024-07-22,SKU-100211,West,385,2024-07-23
2024-07-22,SKU-100212,East,436,2024-07-23
2024-07-22,SKU-100213,North,372,2024-07-23
2024-07-22,SKU-100214,South,343,2024-07-23
2024-07-22,SKU-100215,West,285,2024-07-23
2024-07-29,SKU-100216,East,255,2024-07-31
2024-07-29,SKU-100217,North,249,2024-07-31
2024-07-29,SKU-100218,South,217,2024-07-31
2024-07-29,SKU-100219,West,244,2024-07-31
2024-07-29,SKU-100220,East,429,2024-07-31
2024-07-29,SKU-100221,North,442,2024-07-31
2024-07-29,SKU-100222,South,367,2024-07-31
2024-07-29,SKU-100223,West,370,2024-07-31
2024-07-29,SKU-100224,East,466,2024-07-31
2024-07-29,SKU-100225,North,397,2024-07-31
2024-07-29,SKU-100226,South,338,2024-07-31
2024-07-29,SKU-100227,West,389,2024-07-31
2024-07-29,SKU-100228,East,491,2024-07-31
2024-07-29,SKU-100229,North,456,2024-07-31
2024-07-29,SKU-100230,South,396,2024-07-31
2024-07-29,SKU-100231,West,450,2024-07-31
2024-07-29,SKU-100232,East,262,2024-07-31
2024-07-29,SKU-100233,North,246,2024-07-31
2024-07-29,SKU-100234,South,192,2024-07-31
2024-07-29,SKU-100235,West,227,2024-07-31
2024-07-29,SKU-100236,East,362,2024-07-31
2024-07-29,SKU-100237,North,399,2024-07-31
2024-07-29,SKU-100238,South,319,2024-07-31
2024-07-29,SKU-100239,West,299,2024-07-31
2024-07-29,SKU-100240,East,263,2024-08-01
2024-07-29,SKU-100241,North,218,2024-08-01
2024-07-29,SKU-100242,South,197,2024-08-01
2024-07-29,SKU-100243,West,234,2024-08-01
2024-07-29,SKU-100244,East,316,2024-08-01
2024-07-29,SKU-100245,North,313,2024-08-01
2024-07-29,SKU-100246,South,276,2024-08-01
2024-07-29,SKU-100247,West,281,2024-08-01
2024-07-29,SKU-100248,East,244,2024-08-01
2024-07-29,SKU-100249,North,261,2024-08-01
2024-07-29,SKU-100250,South,225,2024-08-01
2024-07-29,SKU-100251,West,225,2024-08-01
2024-07-29,SKU-100252,East,277,2024-08-01
2024-07-29,SKU-100253,North,223,2024-08-01
2024-07-29,SKU-100254,South,220,2024-08-01
2024-07-29,SKU-100255,West,209,2024-08-01
2024-07-29,SKU-100256,East,477,2024-08-01
2024-07-29,SKU-100257,North,403,2024-08-01
2024-07-29,SKU-100258,South,401,2024-08-01
2024-07-29,SKU-100259,West,417,2024-08-01
2024-07-29,SKU-100260,East,337,2024-08-01
2024-07-29,SKU-100261,North,313,2024-08-01
2024-07-29,SKU-100262,South,273,2024-08-01
2024-07-29,SKU-100263,West,324,2024-08-01
2024-07-29,SKU-100264,East,312,2024-08-02
2024-07-29,SKU-100265,North,304,2024-08-02
2024-07-29,SKU-100266,South,263,2024-08-02
2024-07-29,SKU-100267,West,301,2024-08-02
2024-07-29,SKU-100268,East,392,2024-08-02
2024-07-29,SKU-100269,North,392,2024-08-02
2024-07-29,SKU-100270,South,371,2024-08-02
2024-07-29,SKU-100271,West,438,2024-08-02
2024-07-29,SKU-100272,East,453,2024-08-02
2024-07-29,SKU-100273,North,493,2024-08-02
2024-07-29,SKU-100274,South,354,2024-08-02
2024-07-29,SKU-100275,West,407,2024-08-02
2024-07-29,SKU-100276,East,263,2024-08-02
2024-07-29,SKU-100277,North,224,2024-08-02
2024-07-29,SKU-100278,South,210,2024-08-02
2024-07-29,SKU-100279,West,208,2024-08-02
2024-07-29,SKU-100280,East,429,2024-08-02
2024-07-29,SKU-100281,North,438,2024-08-02
2024-07-29,SKU-100282,South,361,2024-08-02
2024-07-29,SKU-100283,West,410,2024-08-02
2024-07-29,SKU-100284,East,329,2024-08-02
2024-07-29,SKU-100285,North,383,2024-08-02
2024-07-29,SKU-100286,South,313,2024-08-02
2024-07-29,SKU-100287,West,370,2024-08-02
2024-08-05,SKU-100288,East,215,2024-08-10
2024-08-05,SKU-100289,North,215,2024-08-10
2024-08-05,SKU-100290,South,196,2024-08-10
2024-08-05,SKU-100291,West,197,2024-08-10
2024-08-05,SKU-100292,East,346,2024-08-10
2024-08-05,SKU-100293,North,343,2024-08-10
2024-08-05,SKU-100294,South,312,2024-08-10
2024-08-05,SKU-100295,West,342,2024-08-10
2024-08-05,SKU-100296,East,407,2024-08-10
2024-08-05,SKU-100297,North,380,2024-08-10
2024-08-05,SKU-100298,South,317,2024-08-10
2024-08-05,SKU-100299,West,363,2024-08-10
2024-08-05,SKU-100300,East,417,2024-08-10
2024-08-05,SKU-100301,North,397,2024-08-10
2024-08-05,SKU-100302,South,386,2024-08-10
2024-08-05,SKU-100303,West,389,2024-08-10
2024-08-05,SKU-100304,East,229,2024-08-10
2024-08-05,SKU-100305,North,216,2024-08-10
2024-08-05,SKU-100306,South,168,2024-08-10
2024-08-05,SKU-100307,West,205,2024-08-10
2024-08-05,SKU-100308,East,360,2024-08-10
2024-08-05,SKU-100309,North,320,2024-08-10
2024-08-05,SKU-100310,South,266,2024-08-10
2024-08-05,SKU-100311,West,305,2024-08-10
2024-08-05,SKU-100312,East,203,2024-08-11
2024-08-05,SKU-100313,North,243,2024-08-11
2024-08-05,SKU-100314,South,195,2024-08-11
2024-08-05,SKU-100315,West,190,2024-08-11
2024-08-05,SKU-100316,East,284,2024-08-11
2024-08-05,SKU-100317,North,264,2024-08-11
2024-08-05,SKU-100318,South,249,2024-08-11
2024-08-05,SKU-100319,West,246,2024-08-11
2024-08-05,SKU-100320,East,219,2024-08-11
2024-08-05,SKU-100321,North,200,2024-08-11
2024-08-05,SKU-100322,South,181,2024-08-11
2024-08-05,SKU-100323,West,204,2024-08-11
2024-08-05,SKU-100324,East,183,2024-08-11
2024-08-05,SKU-100325,North,195,2024-08-11
2024-08-05,SKU-100326,South,187,2024-08-11
2024-08-05,SKU-100327,West,195,2024-08-11
2024-08-05,SKU-100328,East,416,2024-08-11
2024-08-05,SKU-100329,North,341,2024-08-11
2024-08-05,SKU-100330,South,352,2024-08-11
2024-08-05,SKU-100331,West,366,2024-08-11
2024-08-05,SKU-100332,East,310,2024-08-11
2024-08-05,SKU-100333,North,265,2024-08-11
2024-08-05,SKU-100334,South,251,2024-08-11
2024-08-05,SKU-100335,West,242,2024-08-11
2024-08-12,SKU-100336,East,318,2024-08-12
2024-08-12,SKU-100337,North,293,2024-08-12
2024-08-12,SKU-100338,South,258,2024-08-12
2024-08-12,SKU-100339,West,262,2024-08-12
2024-08-12,SKU-100340,East,375,2024-08-12
2024-08-12,SKU-100341,North,364,2024-08-12
2024-08-12,SKU-100342,South,286,2024-08-12
2024-08-12,SKU-100343,West,370,2024-08-12
2024-08-12,SKU-100344,East,418,2024-08-12
2024-08-12,SKU-100345,North,368,2024-08-12
2024-08-12,SKU-100346,South,342,2024-08-12
2024-08-12,SKU-100347,West,348,2024-08-12
2024-08-12,SKU-100348,East,214,2024-08-12
2024-08-12,SKU-100349,North,202,2024-08-12
2024-08-12,SKU-100350,South,183,2024-08-12
2024-08-12,SKU-100351,West,197,2024-08-12
2024-08-12,SKU-100352,East,415,2024-08-12
2024-08-12,SKU-100353,North,356,2024-08-12
2024-08-12,SKU-100354,South,315,2024-08-12
2024-08-12,SKU-100355,West,343,2024-08-12
2024-08-12,SKU-100356,East,352,2024-08-12
2024-08-12,SKU-100357,North,296,2024-08-12
2024-08-12,SKU-100358,South,277,2024-08-12
2024-08-12,SKU-100359,West,306,2024-08-12
2024-08-19,SKU-100360,East,206,2024-08-20
2024-08-19,SKU-100361,North,222,2024-08-20
2024-08-19,SKU-100362,South,159,2024-08-20
2024-08-19,SKU-100363,West,161,2024-08-20
2024-08-19,SKU-100364,East,392,2024-08-20
2024-08-19,SKU-100365,North,386,2024-08-20
2024-08-19,SKU-100366,South,302,2024-08-20
2024-08-19,SKU-100367,West,333,2024-08-20
2024-08-19,SKU-100368,East,384,2024-08-20
2024-08-19,SKU-100369,North,317,2024-08-20
2024-08-19,SKU-100370,South,282,2024-08-20
2024-08-19,SKU-100371,West,344,2024-08-20
2024-08-19,SKU-100372,East,392,2024-08-20
2024-08-19,SKU-100373,North,362,2024-08-20
2024-08-19,SKU-100374,South,340,2024-08-20
2024-08-19,SKU-100375,West,397,2024-08-20
2024-08-19,SKU-100376,East,224,2024-08-20
2024-08-19,SKU-100377,North,183,2024-08-20
2024-08-19,SKU-100378,South,186,2024-08-20
2024-08-19,SKU-100379,West,180,2024-08-20
2024-08-19,SKU-100380,East,348,2024-08-20
2024-08-19,SKU-100381,North,292,2024-08-20
2024-08-19,SKU-100382,South,287,2024-08-20
2024-08-19,SKU-100383,West,337,2024-08-20
2024-08-19,SKU-100384,East,191,2024-08-21
2024-08-19,SKU-100385,North,194,2024-08-21
2024-08-19,SKU-100386,South,174,2024-08-21
2024-08-19,SKU-100387,West,194,2024-08-21
2024-08-19,SKU-100388,East,270,2024-08-21
2024-08-19,SKU-100389,North,286,2024-08-21
2024-08-19,SKU-100390,South,220,2024-08-21
2024-08-19,SKU-100391,West,252,2024-08-21
2024-08-19,SKU-100392,East,202,2024-08-21
2024-08-19,SKU-100393,North,204,2024-08-21
2024-08-19,SKU-100394,South,180,2024-08-21
2024-08-19,SKU-100395,West,191,2024-08-21
2024-08-19,SKU-100396,East,210,2024-08-21
2024-08-19,SKU-100397,North,212,2024-08-21
2024-08-19,SKU-100398,South,180,2024-08-21
2024-08-19,SKU-100399,West,183,2024-08-21
2024-08-19,SKU-100400,East,388,2024-08-21
2024-08-19,SKU-100401,North,370,2024-08-21
2024-08-19,SKU-100402,South,342,2024-08-21
2024-08-19,SKU-100403,West,348,2024-08-21
2024-08-19,SKU-100404,East,282,2024-08-21
2024-08-19,SKU-100405,North,276,2024-08-21
2024-08-19,SKU-100406,South,245,2024-08-21
2024-08-19,SKU-100407,West,270,2024-08-21
2024-08-19,SKU-100408,East,248,2024-08-22
2024-08-19,SKU-100409,North,264,2024-08-22
2024-08-19,SKU-100410,South,249,2024-08-22
2024-08-19,SKU-100411,West,240,2024-08-22
2024-08-19,SKU-100412,East,328,2024-08-22
2024-08-19,SKU-100413,North,399,2024-08-22
2024-08-19,SKU-100414,South,288,2024-08-22
2024-08-19,SKU-100415,West,296,2024-08-22
2024-08-19,SKU-100416,East,394,2024-08-22
2024-08-19,SKU-100417,North,396,2024-08-22
2024-08-19,SKU-100418,South,355,2024-08-22
2024-08-19,SKU-100419,West,326,2024-08-22
2024-08-19,SKU-100420,East,206,2024-08-22
2024-08-19,SKU-100421,North,180,2024-08-22
2024-08-19,SKU-100422,South,171,2024-08-22
2024-08-19,SKU-100423,West,174,2024-08-22
2024-08-19,SKU-100424,East,383,2024-08-22
2024-08-19,SKU-100425,North,366,2024-08-22
2024-08-19,SKU-100426,South,322,2024-08-22
2024-08-19,SKU-100427,West,350,2024-08-22
2024-08-19,SKU-100428,East,319,2024-08-22
2024-08-19,SKU-100429,North,338,2024-08-22
2024-08-19,SKU-100430,South,277,2024-08-22
2024-08-19,SKU-100431,West,295,2024-08-22
2024-08-26,SKU-100432,East,201,2024-08-30
2024-08-26,SKU-100433,North,171,2024-08-30
2024-08-26,SKU-100434,South,148,2024-08-30
2024-08-26,SKU-100435,West,189,2024-08-30
2024-08-26,SKU-100436,East,328,2024-08-30
2024-08-26,SKU-100437,North,294,2024-08-30
2024-08-26,SKU-100438,South,313,2024-08-30
2024-08-26,SKU-100439,West,323,2024-08-30
2024-08-26,SKU-100440,East,354,2024-08-30
2024-08-26,SKU-100441,North,364,2024-08-30
2024-08-26,SKU-100442,South,269,2024-08-30
2024-08-26,SKU-100443,West,305,2024-08-30
2024-08-26,SKU-100444,East,371,2024-08-30
2024-08-26,SKU-100445,North,339,2024-08-30
2024-08-26,SKU-100446,South,341,2024-08-30
2024-08-26,SKU-100447,West,350,2024-08-30
2024-08-26,SKU-100448,East,187,2024-08-30
2024-08-26,SKU-100449,North,180,2024-08-30
2024-08-26,SKU-100450,South,150,2024-08-30
2024-08-26,SKU-100451,West,191,2024-08-30
2024-08-26,SKU-100452,East,357,2024-08-30
2024-08-26,SKU-100453,North,308,2024-08-30
2024-08-26,SKU-100454,South,239,2024-08-30
2024-08-26,SKU-100455,West,260,2024-08-30
2024-08-26,SKU-100456,East,190,2024-08-31
2024-08-26,SKU-100457,North,204,2024-08-31
2024-08-26,SKU-100458,South,151,2024-08-31
2024-08-26,SKU-100459,West,164,2024-08-31
2024-08-26,SKU-100460,East,264,2024-08-31
2024-08-26,SKU-100461,North,265,2024-08-31
2024-08-26,SKU-100462,South,212,2024-08-31
2024-08-26,SKU-100463,West,222,2024-08-31
2024-08-26,SKU-100464,East,207,2024-08-31
2024-08-26,SKU-100465,North,188,2024-08-31
2024-08-26,SKU-100466,South,165,2024-08-31
2024-08-26,SKU-100467,West,178,2024-08-31
2024-08-26,SKU-100468,East,203,2024-08-31
2024-08-26,SKU-100469,North,194,2024-08-31
2024-08-26,SKU-100470,South,154,2024-08-31
2024-08-26,SKU-100471,West,183,2024-08-31
2024-08-26,SKU-100472,East,375,2024-08-31
2024-08-26,SKU-100473,North,383,2024-08-31
2024-08-26,SKU-100474,South,298,2024-08-31
2024-08-26,SKU-100475,West,311,2024-08-31
2024-08-26,SKU-100476,East,240,2024-08-31
2024-08-26,SKU-100477,North,256,2024-08-31
2024-08-26,SKU-100478,South,218,2024-08-31
2024-08-26,SKU-100479,West,246,2024-08-31
2024-08-26,SKU-100480,East,291,2024-09-01
2024-08-26,SKU-100481,North,239,2024-09-01
2024-08-26,SKU-100482,South,236,2024-09-01
2024-08-26,SKU-100483,West,223,2024-09-01
2024-08-26,SKU-100484,East,367,2024-09-01
2024-08-26,SKU-100485,North,328,2024-09-01
2024-08-26,SKU-100486,South,262,2024-09-01
2024-08-26,SKU-100487,West,355,2024-09-01
2024-08-26,SKU-100488,East,346,2024-09-01
2024-08-26,SKU-100489,North,309,2024-09-01
2024-08-26,SKU-100490,South,280,2024-09-01
2024-08-26,SKU-100491,West,340,2024-09-01
2024-08-26,SKU-100492,East,194,2024-09-01
2024-08-26,SKU-100493,North,198,2024-09-01
2024-08-26,SKU-100494,South,150,2024-09-01
2024-08-26,SKU-100495,West,167,2024-09-01
2024-08-26,SKU-100496,East,368,2024-09-01
2024-08-26,SKU-100497,North,385,2024-09-01
2024-08-26,SKU-100498,South,297,2024-09-01
2024-08-26,SKU-100499,West,317,2024-09-01
2024-08-26,SKU-100500,East,299,2024-09-01
2024-08-26,SKU-100501,North,281,2024-09-01
2024-08-26,SKU-100502,South,263,2024-09-01
2024-08-26,SKU-100503,West,275,2024-09-01
2024-09-09,SKU-100504,East,207,2024-09-09
2024-09-09,SKU-100505,North,182,2024-09-09
2024-09-09,SKU-100506,South,156,2024-09-09
2024-09-09,SKU-100507,West,174,2024-09-09
2024-09-09,SKU-100508,East,307,2024-09-09
2024-09-09,SKU-100509,North,327,2024-09-09
2024-09-09,SKU-100510,South,307,2024-09-09
2024-09-09,SKU-100511,West,285,2024-09-09
2024-09-09,SKU-100512,East,324,2024-09-09
2024-09-09,SKU-100513,North,305,2024-09-09
2024-09-09,SKU-100514,South,296,2024-09-09
2024-09-09,SKU-100515,West,301,2024-09-09
2024-09-09,SKU-100516,East,405,2024-09-09
2024-09-09,SKU-100517,North,395,2024-09-09
2024-09-09,SKU-100518,South,304,2024-09-09
2024-09-09,SKU-100519,West,345,2024-09-09
2024-09-09,SKU-100520,East,189,2024-09-09
2024-09-09,SKU-100521,North,186,2024-09-09
2024-09-09,SKU-100522,South,160,2024-09-09
2024-09-09,SKU-100523,West,178,2024-09-09
2024-09-09,SKU-100524,East,299,2024-09-09
2024-09-09,SKU-100525,North,301,2024-09-09
2024-09-09,SKU-100526,South,245,2024-09-09
2024-09-09,SKU-100527,West,250,2024-09-09
2024-09-09,SKU-100528,East,188,2024-09-10
2024-09-09,SKU-100529,North,196,2024-09-10
2024-09-09,SKU-100530,South,159,2024-09-10
2024-09-09,SKU-100531,West,184,2024-09-10
2024-09-09,SKU-100532,East,266,2024-09-10
2024-09-09,SKU-100533,North,228,2024-09-10
2024-09-09,SKU-100534,South,198,2024-09-10
2024-09-09,SKU-100535,West,247,2024-09-10
2024-09-09,SKU-100536,East,181,2024-09-10
2024-09-09,SKU-100537,North,192,2024-09-10
2024-09-09,SKU-100538,South,177,2024-09-10
2024-09-09,SKU-100539,West,179,2024-09-10
2024-09-09,SKU-100540,East,190,2024-09-10
2024-09-09,SKU-100541,North,177,2024-09-10
2024-09-09,SKU-100542,South,164,2024-09-10
2024-09-09,SKU-100543,West,173,2024-09-10
2024-09-09,SKU-100544,East,340,2024-09-10
2024-09-09,SKU-100545,North,334,2024-09-10
2024-09-09,SKU-100546,South,281,2024-09-10
2024-09-09,SKU-100547,West,301,2024-09-10
2024-09-09,SKU-100548,East,264,2024-09-10
2024-09-09,SKU-100549,North,261,2024-09-10
2024-09-09,SKU-100550,South,226,2024-09-10
2024-09-09,SKU-100551,West,223,2024-09-10
2024-09-09,SKU-100552,East,255,2024-09-11
2024-09-09,SKU-100553,North,240,2024-09-11
2024-09-09,SKU-100554,South,216,2024-09-11
2024-09-09,SKU-100555,West,243,2024-09-11
2024-09-09,SKU-100556,East,337,2024-09-11
2024-09-09,SKU-100557,North,317,2024-09-11
