date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,weekend_flag,marketing_push_flag,weather_disruption_index,weekend_flag_raw
2024-08-17,SKU-100167,North,35,111.51,0,0,1,0,-0.15,1970-01-07
2024-08-17,SKU-100291,East,47,160.46,0,0,1,0,0.48,1970-01-13
2024-08-17,SKU-100365,West,44,42.75,0,0,1,0,-0.44,1970-01-16
2024-08-17,SKU-100570,West,64,97.72,0,1,1,0,0.4,1970-01-24
2024-08-17,SKU-100944,North,33,153.63,0,1,1,0,0.57,1970-02-09
2024-08-18,SKU-100829,East,26,101.1,0,1,1,0,-0.84,1970-02-04
2024-08-18,SKU-101051,East,44,162.9,0,1,1,0,0.31,1970-02-13
2024-08-19,SKU-100998,South,41,159.24,0,1,0,0,0.57,1970-02-11
2024-08-19,SKU-101008,East,61,187.5,0,1,0,0,-0.29,1970-02-12
2024-08-20,SKU-100311,East,54,72.76,0,0,0,0,-0.43,1970-01-13
2024-08-20,SKU-100490,South,26,127.23,0,1,0,0,-1.29,1970-01-21
2024-08-20,SKU-100593,North,51,32.55,0,1,0,0,1.25,1970-01-25
2024-08-20,SKU-101120,North,75,73.12,0,1,0,0,-0.31,1970-02-16
2024-08-21,SKU-100608,South,70,97.33,0,1,0,0,1.25,1970-01-26
2024-08-21,SKU-100786,East,29,158.99,0,1,0,0,0.17,1970-02-02
2024-08-21,SKU-100868,South,59,188.9,0,1,0,0,0.21,1970-02-06
2024-08-21,SKU-101087,South,46,147.01,0,1,0,0,1.54,1970-02-15
2024-08-22,SKU-100112,West,31,74.61,0,0,0,0,1.28,1970-01-05
2024-08-22,SKU-100831,West,22,175.43,0,1,0,0,-0.39,1970-02-04
2024-08-22,SKU-101033,South,28,151.46,0,1,0,0,0.0,1970-02-13
2024-08-23,SKU-100030,West,31,32.39,0,0,0,0,0.2,1970-01-02
2024-08-23,SKU-100123,West,34,133.18,0,0,0,0,1.28,1970-01-06
2024-08-23,SKU-100203,East,23,193.34,0,0,0,0,-1.8,1970-01-09
2024-08-23,SKU-100263,West,25,149.24,0,0,0,0,0.31,1970-01-11
2024-08-23,SKU-100677,North,63,77.99,0,1,0,0,2.14,1970-01-29
2024-08-23,SKU-100851,East,38,161.82,0,1,0,0,-0.39,1970-02-05
2024-08-24,SKU-100090,South,47,93.96,0,0,1,0,-0.38,1970-01-04
2024-08-24,SKU-100171,South,18,130.6,0,0,1,0,0.21,1970-01-08
2024-08-24,SKU-100290,West,55,42.38,0,0,1,0,1.51,1970-01-13
2024-08-24,SKU-100904,South,61,33.98,0,1,1,0,-0.92,1970-02-07
2024-08-24,SKU-101010,North,34,101.14,0,1,1,0,3.32,1970-02-12
2024-08-24,SKU-101085,North,53,197.71,0,1,1,0,0.0,1970-02-15
2024-08-25,SKU-100759,West,42,164.44,0,1,1,0,0.4,1970-02-01
2024-08-25,SKU-100776,East,60,188.8,0,1,1,0,-0.09,1970-02-02
2024-08-25,SKU-100980,South,22,125.57,0,1,1,0,0.21,1970-02-10
2024-08-26,SKU-100294,West,47,185.76,0,0,0,0,-2.09,1970-01-13
2024-08-26,SKU-100621,West,34,31.81,0,0,0,0,-0.44,1970-01-26
2024-08-26,SKU-100815,South,34,185.65,0,1,0,0,-0.09,1970-02-03
2024-08-26,SKU-101034,North,40,132.16,0,1,0,0,0.79,1970-02-13
2024-08-27,SKU-100033,North,43,43.41,0,0,0,0,1.1,1970-01-02
2024-08-27,SKU-101391,East,71,41.51,0,1,0,0,-0.85,1970-02-27
2024-08-28,SKU-100198,South,18,110.14,0,0,0,0,0.42,1970-01-09
2024-08-28,SKU-100411,South,21,132.37,0,0,0,0,-0.15,1970-01-18
2024-08-28,SKU-100720,East,41,41.29,0,1,0,0,1.24,1970-01-31
2024-08-28,SKU-100905,West,48,186.39,0,1,0,0,-0.52,1970-02-07
2024-08-29,SKU-100858,South,46,187.11,0,1,0,0,0.4,1970-02-05
2024-08-29,SKU-101217,East,51,165.03,0,1,0,0,0.0,1970-02-20
2024-08-29,SKU-101317,South,33,127.63,0,1,0,0,0.31,1970-02-24
2024-08-30,SKU-100567,North,61,199.45,0,0,0,1,0.35,1970-01-24
2024-08-30,SKU-101228,South,25,122.38,0,1,0,0,0.0,1970-02-21
2024-08-30,SKU-101376,West,72,79.11,0,1,0,0,0.39,1970-02-27
2024-08-31,SKU-100345,North,72,188.74,0,0,1,0,0.21,1970-01-15
2024-08-31,SKU-100614,South,18,181.23,0,0,1,0,-1.18,1970-01-26
2024-08-31,SKU-100736,South,24,83.83,0,0,1,0,-0.44,1970-01-31
2024-09-01,SKU-100197,South,42,34.12,0,0,1,0,1.94,1970-01-09
2024-09-01,SKU-100413,West,29,186.21,0,0,1,0,-1.8,1970-01-18
2024-09-01,SKU-100483,East,43,194.12,0,0,1,0,1.51,1970-01-21
2024-09-01,SKU-100727,West,36,184.71,0,0,1,0,-0.44,1970-01-31
2024-09-01,SKU-100990,West,71,77.19,0,1,1,0,-0.52,1970-02-11
2024-09-01,SKU-101075,North,59,31.07,0,1,1,0,-0.39,1970-02-14
2024-09-01,SKU-101342,East,50,94.71,0,1,1,0,-0.29,1970-02-25
2024-09-02,SKU-100310,West,42,198.42,0,0,0,0,-0.38,1970-01-13
2024-09-02,SKU-101216,North,72,192.89,0,1,0,0,0.79,1970-02-20
2024-09-02,SKU-101343,East,32,192.13,0,1,0,0,0.57,1970-02-25
2024-09-03,SKU-100617,West,29,128.59,0,0,0,0,-0.41,1970-01-26
2024-09-03,SKU-100692,West,61,79.26,0,0,0,0,-1.18,1970-01-29
2024-09-03,SKU-100743,West,48,200.19,0,0,0,0,1.2,1970-01-31
2024-09-03,SKU-101066,West,32,126.76,0,1,0,0,-0.34,1970-02-14
2024-09-03,SKU-101113,West,39,185.11,0,1,0,0,-0.39,1970-02-16
2024-09-03,SKU-101154,East,58,184.6,0,1,0,0,1.8,1970-02-18
2024-09-03,SKU-101159,West,29,149.24,0,1,0,0,1.8,1970-02-18
2024-09-03,SKU-101194,East,31,100.29,0,1,0,0,0.21,1970-02-19
2024-09-04,SKU-100555,South,40,43.07,0,0,0,0,1.51,1970-01-24
2024-09-04,SKU-101277,East,66,190.57,0,1,0,0,3.32,1970-02-23
2024-09-05,SKU-100937,East,75,44.79,0,1,0,0,0.2,1970-02-09
2024-09-05,SKU-101390,South,30,102.98,0,1,0,0,0.0,1970-02-27
2024-09-05,SKU-101557,South,51,94.36,0,1,0,0,1.09,1970-03-06
2024-09-05,SKU-101595,South,50,98.25,0,1,0,0,-0.85,1970-03-08
2024-09-06,SKU-100215,North,34,152.61,0,0,0,0,1.3,1970-01-09
2024-09-06,SKU-100422,East,44,167.66,0,0,0,0,0.42,1970-01-18
2024-09-06,SKU-100852,South,22,194.77,0,0,0,0,-0.44,1970-02-05
2024-09-06,SKU-101346,North,69,76.97,0,1,0,0,0.87,1970-02-26
2024-09-07,SKU-100323,North,45,179.43,0,0,1,0,0.39,1970-01-14
2024-09-07,SKU-100458,South,38,99.15,0,0,1,0,1.08,1970-01-20
2024-09-07,SKU-100547,North,55,199.29,0,0,1,0,0.47,1970-01-23
2024-09-07,SKU-100556,West,21,103.03,0,0,1,0,-1.8,1970-01-24
2024-09-07,SKU-100709,East,31,30.75,0,0,1,0,-0.41,1970-01-30
2024-09-07,SKU-100938,West,25,130.85,0,1,1,0,-1.09,1970-02-09
2024-09-07,SKU-101167,West,51,202.71,0,1,1,0,-0.34,1970-02-18
2024-09-08,SKU-100969,West,49,185.93,0,1,1,0,-1.09,1970-02-10
2024-09-08,SKU-101517,North,40,195.65,0,1,1,0,1.54,1970-03-05
2024-09-09,SKU-100454,North,34,155.95,0,0,0,0,0.2,1970-01-19
2024-09-09,SKU-100634,East,54,200.32,0,0,0,0,-2.09,1970-01-27
2024-09-09,SKU-100966,West,52,32.61,0,1,0,0,-1.29,1970-02-10
2024-09-09,SKU-101172,South,71,43.52,0,1,0,1,1.77,1970-02-18
2024-09-09,SKU-101238,West,31,177.87,0,1,0,0,0.17,1970-02-21
2024-09-10,SKU-100131,West,26,132.35,0,0,0,0,0.75,1970-01-06
2024-09-10,SKU-100685,West,42,182.85,0,0,0,0,0.31,1970-01-29
2024-09-10,SKU-101225,North,57,188.9,0,1,0,0,-0.34,1970-02-21
2024-09-10,SKU-101482,South,30,129.1,0,1,0,0,-2.39,1970-03-03
2024-09-10,SKU-101488,West,29,157.99,0,1,0,0,0.0,1970-03-04
2024-09-10,SKU-101515,North,28,110.7,0,1,0,0,0.57,1970-03-05
2024-09-11,SKU-100111,South,40,79.28,0,0,0,0,-3.5,1970-01-05
2024-09-11,SKU-100201,North,39,34.07,0,0,0,0,0.06,1970-01-09
2024-09-11,SKU-100700,South,37,33.56,0,0,0,0,0.31,1970-01-30
2024-09-11,SKU-100952,North,55,41.84,0,0,0,0,0.35,1970-02-09
2024-09-11,SKU-101131,West,35,151.39,0,1,0,0,2.14,1970-02-17
2024-09-11,SKU-101532,North,81,194.53,0,1,0,0,0.0,1970-03-05
2024-09-12,SKU-100026,West,23,129.16,0,0,0,0,1.38,1970-01-02
2024-09-12,SKU-100073,North,50,166.82,0,0,0,0,-0.27,1970-01-04
2024-09-12,SKU-100079,West,35,186.01,0,0,0,0,-0.27,1970-01-04
2024-09-12,SKU-100264,East,57,43.57,0,0,0,0,0.51,1970-01-12
2024-09-12,SKU-100285,North,54,196.77,0,0,0,0,0.51,1970-01-12
2024-09-12,SKU-100327,South,35,159.34,0,0,0,0,-2.08,1970-01-14
2024-09-12,SKU-100412,West,38,33.31,0,0,0,0,1.1,1970-01-18
2024-09-12,SKU-100703,East,48,162.07,0,0,0,0,-2.09,1970-01-30
2024-09-12,SKU-101452,North,38,132.84,0,1,0,0,0.79,1970-03-02
2024-09-13,SKU-100046,East,61,74.98,0,0,0,0,-0.94,1970-01-02
2024-09-13,SKU-100950,South,34,154.97,0,0,0,0,0.48,1970-02-09
2024-09-13,SKU-101425,South,33,177.19,0,1,0,0,0.21,1970-03-01
2024-09-13,SKU-101700,East,37,183.34,0,1,0,0,-0.31,1970-03-12
2024-09-13,SKU-101759,East,44,119.92,0,1,0,0,-1.1,1970-03-15
2024-09-14,SKU-100469,East,62,43.47,0,0,1,0,1.1,1970-01-20
2024-09-14,SKU-100564,East,30,103.02,0,0,1,0,0.2,1970-01-24
2024-09-14,SKU-101042,East,52,189.88,0,0,1,0,-0.44,1970-02-13
2024-09-14,SKU-101382,West,37,31.97,0,1,1,0,-0.39,1970-02-27
2024-09-14,SKU-101568,East,60,177.55,0,1,1,0,-2.39,1970-03-07
2024-09-15,SKU-100594,East,21,147.29,0,0,1,0,0.2,1970-01-25
2024-09-15,SKU-100661,South,32,159.58,0,0,1,0,1.08,1970-01-28
2024-09-15,SKU-100820,East,42,173.41,0,0,1,0,1.51,1970-02-04
2024-09-15,SKU-101278,South,59,149.17,0,1,1,0,-0.09,1970-02-23
2024-09-15,SKU-101299,West,38,31.53,0,1,1,1,1.77,1970-02-24
2024-09-15,SKU-101522,West,40,187.82,0,1,1,0,0.79,1970-03-05
2024-09-15,SKU-101555,East,51,152.95,0,1,1,0,3.32,1970-03-06
2024-09-15,SKU-101734,South,61,40.7,0,1,1,0,-0.31,1970-03-14
2024-09-16,SKU-100135,West,40,190.5,0,0,0,0,1.38,1970-01-06
2024-09-16,SKU-100185,North,35,33.22,0,0,0,0,-0.27,1970-01-08
2024-09-16,SKU-100286,East,50,42.76,0,0,0,0,0.75,1970-01-12
2024-09-16,SKU-100711,South,25,123.47,0,0,0,0,1.28,1970-01-30
2024-09-16,SKU-101275,South,25,81.1,0,1,0,0,0.4,1970-02-23
2024-09-16,SKU-101440,North,38,123.15,0,1,0,0,-0.92,1970-03-02
2024-09-16,SKU-101542,South,69,97.76,0,1,0,0,0.79,1970-03-06
2024-09-16,SKU-101648,West,37,123.66,0,1,0,0,0.0,1970-03-10
2024-09-16,SKU-101722,West,66,161.71,0,1,0,0,1.54,1970-03-13
2024-09-16,SKU-101833,West,41,150.31,0,1,0,0,-1.1,1970-03-18
2024-09-17,SKU-100935,West,54,176.53,0,0,0,1,-0.55,1970-02-08
2024-09-17,SKU-101088,North,33,85.77,0,0,0,0,0.35,1970-02-15
2024-09-17,SKU-101094,South,47,146.13,0,0,0,0,0.35,1970-02-15
2024-09-17,SKU-101320,North,71,174.96,0,1,0,0,-0.09,1970-02-25
2024-09-17,SKU-101430,East,68,34.23,0,1,0,0,0.17,1970-03-01
2024-09-17,SKU-101527,East,35,120.56,0,1,0,0,0.21,1970-03-05
2024-09-18,SKU-100253,East,53,154.82,0,0,0,0,0.28,1970-01-11
2024-09-18,SKU-101049,West,32,146.76,0,0,0,0,-1.18,1970-02-13
2024-09-18,SKU-101433,South,45,149.13,0,1,0,0,-0.34,1970-03-01
2024-09-18,SKU-101769,West,37,155.63,0,1,0,0,1.54,1970-03-15
2024-09-18,SKU-101813,North,54,97.07,0,1,0,0,-0.31,1970-03-17
2024-09-18,SKU-101814,East,71,72.91,0,1,0,0,-0.31,1970-03-17
2024-09-19,SKU-100195,West,23,102.97,0,0,0,0,1.38,1970-01-09
2024-09-19,SKU-100987,East,49,32.48,0,0,0,0,-0.41,1970-02-11
2024-09-19,SKU-101939,South,71,73.05,0,1,0,0,-0.85,1970-03-22
2024-09-20,SKU-100008,North,44,80.2,0,0,0,0,-0.27,1970-01-01
2024-09-20,SKU-100318,East,26,159.69,0,0,0,0,-3.5,1970-01-14
2024-09-20,SKU-101169,South,47,125.61,0,0,0,0,0.35,1970-02-18
2024-09-20,SKU-101273,North,54,188.36,0,1,0,0,1.24,1970-02-23
2024-09-20,SKU-101459,North,57,44.32,0,1,0,0,-0.52,1970-03-02
2024-09-20,SKU-101529,East,37,181.34,0,1,0,0,-0.39,1970-03-05
2024-09-20,SKU-101847,East,94,77.62,0,1,0,0,0.31,1970-03-18
2024-09-21,SKU-100337,North,25,125.57,0,0,1,0,-3.5,1970-01-15
2024-09-21,SKU-100644,North,33,33.83,0,0,1,0,1.1,1970-01-27
2024-09-22,SKU-100581,West,52,147.32,0,0,1,0,1.3,1970-01-25
2024-09-22,SKU-100997,East,24,80.92,0,0,1,0,1.51,1970-02-11
2024-09-22,SKU-101389,South,44,31.35,0,1,1,0,1.25,1970-02-27
2024-09-22,SKU-101914,North,48,31.23,0,1,1,0,-0.31,1970-03-21
2024-09-23,SKU-100001,South,14,137.74,0,0,0,0,-2.01,1970-01-01
2024-09-23,SKU-100450,South,13,131.26,0,0,0,0,0.75,1970-01-19
2024-09-23,SKU-100678,South,27,33.28,0,0,0,0,1.1,1970-01-29
2024-09-23,SKU-101507,West,68,193.54,0,1,0,1,1.77,1970-03-04
2024-09-23,SKU-101640,West,49,31.38,0,1,0,0,1.8,1970-03-10
2024-09-24,SKU-100038,South,30,126.36,0,0,0,0,-2.01,1970-01-02
2024-09-24,SKU-100386,East,39,32.05,0,0,0,0,0.28,1970-01-17
2024-09-24,SKU-100701,North,53,189.99,0,0,0,0,1.1,1970-01-30
2024-09-24,SKU-101310,East,24,128.23,0,0,0,0,-0.44,1970-02-24
2024-09-24,SKU-101586,West,30,130.43,0,1,0,0,0.17,1970-03-08
2024-09-24,SKU-102031,West,37,106.84,0,1,0,0,-1.1,1970-03-26
2024-09-25,SKU-100353,East,62,42.83,0,0,0,0,1.38,1970-01-15
2024-09-25,SKU-100392,East,22,149.97,0,0,0,0,-0.27,1970-01-17
2024-09-25,SKU-100478,West,22,153.85,0,0,0,0,0.14,1970-01-20
2024-09-25,SKU-100824,North,18,195.13,0,0,0,0,0.2,1970-02-04
2024-09-25,SKU-101271,East,22,136.2,0,0,0,0,1.2,1970-02-22
2024-09-25,SKU-101876,West,39,121.13,0,1,0,0,0.57,1970-03-20
2024-09-26,SKU-100061,South,20,106.61,0,0,0,0,-0.97,1970-01-03
2024-09-26,SKU-100528,West,45,151.76,0,0,0,0,0.15,1970-01-23
2024-09-26,SKU-100731,South,39,160.53,0,0,0,0,1.31,1970-01-31
2024-09-26,SKU-101050,South,36,202.57,0,0,0,0,-2.09,1970-02-13
2024-09-26,SKU-101668,South,21,131.93,0,1,0,0,-0.39,1970-03-11
2024-09-26,SKU-101829,East,67,154.67,0,1,0,0,0.87,1970-03-18
2024-09-27,SKU-100287,South,41,199.56,0,0,0,0,0.36,1970-01-12
2024-09-27,SKU-100300,East,34,32.07,0,0,0,0,0.82,1970-01-13
2024-09-28,SKU-100098,West,39,31.46,0,0,1,0,-0.97,1970-01-05
2024-09-28,SKU-100118,North,30,129.07,0,0,1,0,-0.97,1970-01-05
2024-09-28,SKU-100482,North,25,148.65,0,0,1,0,0.28,1970-01-21
2024-09-28,SKU-100833,East,45,181.52,0,0,1,0,0.39,1970-02-04
2024-09-28,SKU-101354,West,57,175.39,0,0,1,0,0.35,1970-02-26
2024-09-28,SKU-101395,East,62,180.23,0,0,1,0,-0.44,1970-02-28
2024-09-28,SKU-101567,West,30,127.05,0,1,1,0,0.4,1970-03-07
2024-09-28,SKU-101804,North,66,185.71,0,1,1,0,-0.84,1970-03-17
2024-09-29,SKU-100453,North,52,94.41,0,0,1,0,1.38,1970-01-19
2024-09-29,SKU-100475,South,27,31.35,0,0,1,0,1.58,1970-01-20
2024-09-29,SKU-100869,South,35,100.42,0,0,1,0,1.94,1970-02-06
2024-09-29,SKU-101362,North,29,186.31,0,0,1,0,1.2,1970-02-26
2024-09-29,SKU-101464,West,30,129.32,0,1,1,0,-1.09,1970-03-03
2024-09-29,SKU-101664,East,35,33.44,0,1,1,0,-0.52,1970-03-11
2024-09-29,SKU-101853,West,31,133.39,0,1,1,0,0.79,1970-03-19
2024-09-30,SKU-100161,East,40,161.58,0,0,0,0,-0.97,1970-01-07
2024-09-30,SKU-100440,East,49,91.18,0,0,0,0,-0.94,1970-01-19
2024-09-30,SKU-100491,West,41,33.86,0,0,0,0,1.58,1970-01-21
2024-09-30,SKU-102133,North,39,158.17,0,1,0,0,0.39,1970-03-30
2024-10-01,SKU-100683,South,43,169.99,0,0,0,0,0.06,1970-01-29
2024-10-01,SKU-100812,West,33,30.68,0,0,0,0,1.3,1970-02-03
2024-10-01,SKU-100878,West,39,188.83,0,0,0,0,1.1,1970-02-06
2024-10-01,SKU-101336,West,47,153.57,0,0,0,1,0.35,1970-02-25
2024-10-01,SKU-101679,South,42,33.22,0,1,0,0,-0.09,1970-03-11
2024-10-01,SKU-101988,West,47,31.11,0,1,0,0,-2.39,1970-03-24
2024-10-01,SKU-102003,North,54,41.64,0,1,0,0,0.0,1970-03-25
2024-10-02,SKU-100519,North,51,40.89,0,0,0,0,1.38,1970-01-22
2024-10-02,SKU-100532,North,29,102.71,0,0,0,0,1.58,1970-01-23
2024-10-02,SKU-101524,North,48,184.52,0,1,0,0,-1.29,1970-03-05
2024-10-02,SKU-101723,North,94,44.22,0,1,0,1,1.77,1970-03-13
2024-10-03,SKU-100480,West,22,149.81,0,0,0,0,0.98,1970-01-21
2024-10-03,SKU-100620,East,51,191.26,0,0,0,0,0.28,1970-01-26
2024-10-03,SKU-100921,East,48,198.17,0,0,0,0,1.1,1970-02-08
2024-10-03,SKU-101566,North,57,172.58,0,1,0,0,-1.09,1970-03-07
2024-10-04,SKU-100093,East,47,43.46,0,0,0,0,-1.79,1970-01-04
2024-10-04,SKU-100742,West,31,152.57,0,0,0,0,0.15,1970-01-31
2024-10-04,SKU-101122,East,31,162.96,0,0,0,0,1.08,1970-02-16
2024-10-04,SKU-101178,South,45,42.9,0,0,0,0,0.47,1970-02-19
2024-10-04,SKU-101188,North,30,80.24,0,0,0,0,0.47,1970-02-19
2024-10-04,SKU-101405,North,24,153.8,0,0,0,1,0.35,1970-02-28
2024-10-04,SKU-101576,West,25,100.63,0,1,0,0,-1.29,1970-03-07
2024-10-04,SKU-101896,East,73,194.65,0,1,0,0,1.8,1970-03-21
2024-10-05,SKU-100051,North,29,197.11,0,0,1,0,1.31,1970-01-03
2024-10-05,SKU-100423,South,29,124.86,0,0,1,0,-0.69,1970-01-18
2024-10-05,SKU-100940,West,33,120.43,0,0,1,0,1.31,1970-02-09
2024-10-05,SKU-101062,East,32,98.46,0,0,1,0,0.2,1970-02-14
2024-10-05,SKU-101135,South,24,111.45,0,0,1,0,1.08,1970-02-17
2024-10-05,SKU-101219,West,43,41.17,0,0,1,0,0.47,1970-02-20
2024-10-05,SKU-101308,West,25,130.75,0,0,1,0,1.51,1970-02-24
2024-10-05,SKU-101830,South,37,127.24,0,1,1,0,-0.34,1970-03-18
2024-10-05,SKU-102010,North,86,75.48,0,1,1,0,0.79,1970-03-25
2024-10-05,SKU-102215,South,48,191.37,0,1,1,0,-0.31,1970-04-03
2024-10-06,SKU-100465,West,52,185.42,0,0,1,0,0.5,1970-01-20
2024-10-06,SKU-101445,East,58,180.78,0,0,1,1,0.35,1970-03-02
2024-10-06,SKU-101660,West,56,32.19,0,1,1,0,1.24,1970-03-11
2024-10-06,SKU-101712,East,48,192.21,0,1,1,0,1.25,1970-03-13
2024-10-06,SKU-101725,South,47,79.42,0,1,1,0,1.25,1970-03-13
2024-10-06,SKU-102267,East,47,32.64,0,1,1,0,0.39,1970-04-05
2024-10-07,SKU-100086,South,37,190.82,0,0,0,0,0.67,1970-01-04
2024-10-07,SKU-100249,North,26,127.0,0,0,0,0,0.54,1970-01-11
2024-10-07,SKU-100269,West,30,33.99,0,0,0,0,-0.41,1970-01-12
