warehouse_id,warehouse_id_raw,demand_region,ship_cost_per_unit_usd,lead_time_days
WH-N100050,WH-E100050,East,2.63,1
WH-S100051,WH-E100051,West,1.58,2
WH-E100052,WH-W100052,North,0.52,4
WH-W100053,WH-W100053,South,0.72,4
WH-C100054,WH-W100054,East,1.39,1
WH-N100055,WH-W100055,West,0.67,3
WH-S100056,WH-C100056,North,1.55,2
WH-E100057,WH-C100057,South,2.48,1
WH-W100058,WH-C100058,East,0.98,3
WH-C100059,WH-C100059,West,1.14,2
WH-N100060,WH-N100060,North,1.08,2
WH-S100061,WH-N100061,South,2.7,2
WH-E100062,WH-N100062,East,1.09,3
WH-W100063,WH-N100063,West,0.63,1
WH-C100064,WH-S100064,North,1.43,3
WH-N100065,WH-S100065,South,1.43,3
WH-S100066,WH-S100066,East,2.42,2
WH-E100067,WH-S100067,West,1.15,4
WH-W100068,WH-E100068,North,2.33,2
WH-C100069,WH-E100069,South,2.48,1
WH-N100070,WH-E100070,East,2.63,1
WH-S100071,WH-E100071,West,1.58,2
WH-E100072,WH-W100072,North,0.52,4
WH-W100073,WH-W100073,South,0.72,4
WH-C100074,WH-W100074,East,1.39,1
WH-N100075,WH-W100075,West,0.67,3
WH-S100076,WH-C100076,North,1.55,2
WH-E100077,WH-C100077,South,2.48,1
WH-W100078,WH-C100078,East,0.98,3
WH-C100079,WH-C100079,West,1.14,2
WH-N100080,WH-N100080,North,1.08,2
WH-S100081,WH-N100081,South,2.7,2
WH-E100082,WH-N100082,East,1.09,3
WH-W100083,WH-N100083,West,0.63,1
WH-C100084,WH-S100084,North,1.43,3
WH-N100085,WH-S100085,South,1.43,3
WH-S100086,WH-S100086,East,2.42,2
WH-E100087,WH-S100087,West,1.15,4
WH-W100088,WH-E100088,North,2.33,2
WH-C100089,WH-E100089,South,2.48,1
WH-N100090,WH-E100090,East,2.63,1
WH-S100091,WH-E100091,West,1.58,2
WH-E100092,WH-W100092,North,0.52,4
WH-W100093,WH-W100093,South,0.72,4
WH-C100094,WH-W100094,East,1.39,1
WH-N100095,WH-W100095,West,0.67,3
WH-S100096,WH-C100096,North,1.55,2
WH-E100097,WH-C100097,South,2.48,1
WH-W100098,WH-C100098,East,0.98,3
WH-C100099,WH-C100099,West,1.14,2
WH-N100100,WH-N100100,North,1.08,2
WH-S100101,WH-N100101,South,2.7,2
WH-E100102,WH-N100102,East,1.09,3
WH-W100103,WH-N100103,West,0.63,1
WH-C100104,WH-S100104,North,1.43,3
WH-N100105,WH-S100105,South,1.43,3
WH-S100106,WH-S100106,East,2.42,2
WH-E100107,WH-S100107,West,1.15,4
WH-W100108,WH-E100108,North,2.33,2
WH-C100109,WH-E100109,South,2.48,1
WH-N100110,WH-E100110,East,2.63,1
WH-S100111,WH-E100111,West,1.58,2
WH-E100112,WH-W100112,North,0.52,4
WH-W100113,WH-W100113,South,0.72,4
WH-C100114,WH-W100114,East,1.39,1
WH-N100115,WH-W100115,West,0.67,3
WH-S100116,WH-C100116,North,1.55,2
WH-E100117,WH-C100117,South,2.48,1
WH-W100118,WH-C100118,East,0.98,3
WH-C100119,WH-C100119,West,1.14,2
WH-N100120,WH-N100120,North,1.08,2
WH-S100121,WH-N100121,South,2.7,2
WH-E100122,WH-N100122,East,1.09,3
WH-W100123,WH-N100123,West,0.63,1
WH-C100124,WH-S100124,North,1.43,3
WH-N100125,WH-S100125,South,1.43,3
WH-S100126,WH-S100126,East,2.42,2
WH-E100127,WH-S100127,West,1.15,4
WH-W100128,WH-E100128,North,2.33,2
WH-C100129,WH-E100129,South,2.48,1
WH-N100130,WH-E100130,East,2.63,1
WH-S100131,WH-E100131,West,1.58,2
WH-E100132,WH-W100132,North,0.52,4
WH-W100133,WH-W100133,South,0.72,4
WH-C100134,WH-W100134,East,1.39,1
WH-N100135,WH-W100135,West,0.67,3
WH-S100136,WH-C100136,North,1.55,2
WH-E100137,WH-C100137,South,2.48,1
WH-W100138,WH-C100138,East,0.98,3
WH-C100139,WH-C100139,West,1.14,2
WH-N100140,WH-N100140,North,1.08,2
WH-S100141,WH-N100141,South,2.7,2
WH-E100142,WH-N100142,East,1.09,3
WH-W100143,WH-N100143,West,0.63,1
WH-C100144,WH-S100144,North,1.43,3
WH-N100145,WH-S100145,South,1.43,3
WH-S100146,WH-S100146,East,2.42,2
WH-E100147,WH-S100147,West,1.15,4
WH-W100148,WH-E100148,North,2.33,2
WH-C100149,WH-E100149,South,2.48,1
WH-N100150,WH-E100150,East,2.63,1
WH-S100151,WH-E100151,West,1.58,2
WH-E100152,WH-W100152,North,0.52,4
WH-W100153,WH-W100153,South,0.72,4
WH-C100154,WH-W100154,East,1.39,1
WH-N100155,WH-W100155,West,0.67,3
WH-S100156,WH-C100156,North,1.55,2
WH-E100157,WH-C100157,South,2.48,1
WH-W100158,WH-C100158,East,0.98,3
WH-C100159,WH-C100159,West,1.14,2
WH-N100160,WH-N100160,North,1.08,2
WH-S100161,WH-N100161,South,2.7,2
WH-E100162,WH-N100162,East,1.09,3
WH-W100163,WH-N100163,West,0.63,1
WH-C100164,WH-S100164,North,1.43,3
WH-N100165,WH-S100165,South,1.43,3
WH-S100166,WH-S100166,East,2.42,2
WH-E100167,WH-S100167,West,1.15,4
WH-W100168,WH-E100168,North,2.33,2
WH-C100169,WH-E100169,South,2.48,1
WH-N100170,WH-E100170,East,2.63,1
WH-S100171,WH-E100171,West,1.58,2
WH-E100172,WH-W100172,North,0.52,4
WH-W100173,WH-W100173,South,0.72,4
WH-C100174,WH-W100174,East,1.39,1
WH-N100175,WH-W100175,West,0.67,3
WH-S100176,WH-C100176,North,1.55,2
WH-E100177,WH-C100177,South,2.48,1
WH-W100178,WH-C100178,East,0.98,3
WH-C100179,WH-C100179,West,1.14,2
WH-N100180,WH-N100180,North,1.08,2
WH-S100181,WH-N100181,South,2.7,2
WH-E100182,WH-N100182,East,1.09,3
WH-W100183,WH-N100183,West,0.63,1
WH-C100184,WH-S100184,North,1.43,3
WH-N100185,WH-S100185,South,1.43,3
WH-S100186,WH-S100186,East,2.42,2
WH-E100187,WH-S100187,West,1.15,4
WH-W100188,WH-E100188,North,2.33,2
WH-C100189,WH-E100189,South,2.48,1
WH-N100190,WH-E100190,East,2.63,1
WH-S100191,WH-E100191,West,1.58,2
WH-E100192,WH-W100192,North,0.52,4
WH-W100193,WH-W100193,South,0.72,4
WH-C100194,WH-W100194,East,1.39,1
WH-N100195,WH-W100195,West,0.67,3
WH-S100196,WH-C100196,North,1.55,2
WH-E100197,WH-C100197,South,2.48,1
WH-W100198,WH-C100198,East,0.98,3
WH-C100199,WH-C100199,West,1.14,2
WH-N100200,WH-N100200,North,1.08,2
WH-S100201,WH-N100201,South,2.7,2
WH-E100202,WH-N100202,East,1.09,3
WH-W100203,WH-N100203,West,0.63,1
WH-C100204,WH-S100204,North,1.43,3
WH-N100205,WH-S100205,South,1.43,3
WH-S100206,WH-S100206,East,2.42,2
WH-E100207,WH-S100207,West,1.15,4
WH-W100208,WH-E100208,North,2.33,2
WH-C100209,WH-E100209,South,2.48,1
WH-N100210,WH-E100210,East,2.63,1
WH-S100211,WH-E100211,West,1.58,2
WH-E100212,WH-W100212,North,0.52,4
WH-W100213,WH-W100213,South,0.72,4
WH-C100214,WH-W100214,East,1.39,1
WH-N100215,WH-W100215,West,0.67,3
WH-S100216,WH-C100216,North,1.55,2
WH-E100217,WH-C100217,South,2.48,1
WH-W100218,WH-C100218,East,0.98,3
WH-C100219,WH-C100219,West,1.14,2
WH-N100220,WH-N100220,North,1.08,2
WH-S100221,WH-N100221,South,2.7,2
WH-E100222,WH-N100222,East,1.09,3
WH-W100223,WH-N100223,West,0.63,1
WH-C100224,WH-S100224,North,1.43,3
WH-N100225,WH-S100225,South,1.43,3
WH-S100226,WH-S100226,East,2.42,2
WH-E100227,WH-S100227,West,1.15,4
WH-W100228,WH-E100228,North,2.33,2
WH-C100229,WH-E100229,South,2.48,1
WH-N100230,WH-E100230,East,2.63,1
WH-S100231,WH-E100231,West,1.58,2
WH-E100232,WH-W100232,North,0.52,4
WH-W100233,WH-W100233,South,0.72,4
WH-C100234,WH-W100234,East,1.39,1
WH-N100235,WH-W100235,West,0.67,3
WH-S100236,WH-C100236,North,1.55,2
WH-E100237,WH-C100237,South,2.48,1
WH-W100238,WH-C100238,East,0.98,3
WH-C100239,WH-C100239,West,1.14,2
WH-N100240,WH-N100240,North,1.08,2
WH-S100241,WH-N100241,South,2.7,2
WH-E100242,WH-N100242,East,1.09,3
WH-W100243,WH-N100243,West,0.63,1
WH-C100244,WH-S100244,North,1.43,3
WH-N100245,WH-S100245,South,1.43,3
WH-S100246,WH-S100246,East,2.42,2
WH-E100247,WH-S100247,West,1.15,4
WH-W100248,WH-E100248,North,2.33,2
WH-C100249,WH-E100249,South,2.48,1
WH-N100250,WH-E100250,East,2.63,1
WH-S100251,WH-E100251,West,1.58,2
WH-E100252,WH-W100252,North,0.52,4
WH-W100253,WH-W100253,South,0.72,4
WH-C100254,WH-W100254,East,1.39,1
WH-N100255,WH-W100255,West,0.67,3
WH-S100256,WH-C100256,North,1.55,2
WH-E100257,WH-C100257,South,2.48,1
WH-W100258,WH-C100258,East,0.98,3
WH-C100259,WH-C100259,West,1.14,2
WH-N100260,WH-N100260,North,1.08,2
WH-S100261,WH-N100261,South,2.7,2
WH-E100262,WH-N100262,East,1.09,3
WH-W100263,WH-N100263,West,0.63,1
WH-C100264,WH-S100264,North,1.43,3
WH-N100265,WH-S100265,South,1.43,3
WH-S100266,WH-S100266,East,2.42,2
WH-E100267,WH-S100267,West,1.15,4
WH-W100268,WH-E100268,North,2.33,2
WH-C100269,WH-E100269,South,2.48,1
WH-N100270,WH-E100270,East,2.63,1
WH-S100271,WH-E100271,West,1.58,2
WH-E100272,WH-W100272,North,0.52,4
WH-W100273,WH-W100273,South,0.72,4
WH-C100274,WH-W100274,East,1.39,1
WH-N100275,WH-W100275,West,0.67,3
WH-S100276,WH-C100276,North,1.55,2
WH-E100277,WH-C100277,South,2.48,1
WH-W100278,WH-C100278,East,0.98,3
WH-C100279,WH-C100279,West,1.14,2
WH-N100280,WH-N100280,North,1.08,2
WH-S100281,WH-N100281,South,2.7,2
WH-E100282,WH-N100282,East,1.09,3
WH-W100283,WH-N100283,West,0.63,1
WH-C100284,WH-S100284,North,1.43,3
WH-N100285,WH-S100285,South,1.43,3
WH-S100286,WH-S100286,East,2.42,2
WH-E100287,WH-S100287,West,1.15,4
WH-W100288,WH-E100288,North,2.33,2
WH-C100289,WH-E100289,South,2.48,1
WH-N100290,WH-E100290,East,2.63,1
WH-S100291,WH-E100291,West,1.58,2
WH-E100292,WH-W100292,North,0.52,4
WH-W100293,WH-W100293,South,0.72,4
WH-C100294,WH-W100294,East,1.39,1
WH-N100295,WH-W100295,West,0.67,3
WH-S100296,WH-C100296,North,1.55,2
WH-E100297,WH-C100297,South,2.48,1
WH-W100298,WH-C100298,East,0.98,3
WH-C100299,WH-C100299,West,1.14,2
WH-N100300,WH-N100300,North,1.08,2
WH-S100301,WH-N100301,South,2.7,2
WH-E100302,WH-N100302,East,1.09,3
WH-W100303,WH-N100303,West,0.63,1
WH-C100304,WH-S100304,North,1.43,3
WH-N100305,WH-S100305,South,1.43,3
WH-S100306,WH-S100306,East,2.42,2
WH-E100307,WH-S100307,West,1.15,4
WH-W100308,WH-E100308,North,2.33,2
WH-C100309,WH-E100309,South,2.48,1
WH-N100310,WH-E100310,East,2.63,1
WH-S100311,WH-E100311,West,1.58,2
WH-E100312,WH-W100312,North,0.52,4
WH-W100313,WH-W100313,South,0.72,4
WH-C100314,WH-W100314,East,1.39,1
WH-N100315,WH-W100315,West,0.67,3
WH-S100316,WH-C100316,North,1.55,2
WH-E100317,WH-C100317,South,2.48,1
WH-W100318,WH-C100318,East,0.98,3
WH-C100319,WH-C100319,West,1.14,2
WH-N100320,WH-N100320,North,1.08,2
WH-S100321,WH-N100321,South,2.7,2
WH-E100322,WH-N100322,East,1.09,3
WH-W100323,WH-N100323,West,0.63,1
WH-C100324,WH-S100324,North,1.43,3
WH-N100325,WH-S100325,South,1.43,3
WH-S100326,WH-S100326,East,2.42,2
WH-E100327,WH-S100327,West,1.15,4
WH-W100328,WH-E100328,North,2.33,2
WH-C100329,WH-E100329,South,2.48,1
WH-N100330,WH-E100330,East,2.63,1
WH-S100331,WH-E100331,West,1.58,2
WH-E100332,WH-W100332,North,0.52,4
WH-W100333,WH-W100333,South,0.72,4
WH-C100334,WH-W100334,East,1.39,1
WH-N100335,WH-W100335,West,0.67,3
WH-S100336,WH-C100336,North,1.55,2
WH-E100337,WH-C100337,South,2.48,1
WH-W100338,WH-C100338,East,0.98,3
WH-C100339,WH-C100339,West,1.14,2
WH-N100340,WH-N100340,North,1.08,2
WH-S100341,WH-N100341,South,2.7,2
WH-E100342,WH-N100342,East,1.09,3
WH-W100343,WH-N100343,West,0.63,1
WH-C100344,WH-S100344,North,1.43,3
WH-N100345,WH-S100345,South,1.43,3
WH-S100346,WH-S100346,East,2.42,2
WH-E100347,WH-S100347,West,1.15,4
WH-W100348,WH-E100348,North,2.33,2
WH-C100349,WH-E100349,South,2.48,1
WH-N100350,WH-E100350,East,2.63,1
WH-S100351,WH-E100351,West,1.58,2
WH-E100352,WH-W100352,North,0.52,4
WH-W100353,WH-W100353,South,0.72,4
WH-C100354,WH-W100354,East,1.39,1
WH-N100355,WH-W100355,West,0.67,3
WH-S100356,WH-C100356,North,1.55,2
WH-E100357,WH-C100357,South,2.48,1
WH-W100358,WH-C100358,East,0.98,3
WH-C100359,WH-C100359,West,1.14,2
WH-N100360,WH-N100360,North,1.08,2
WH-S100361,WH-N100361,South,2.7,2
WH-E100362,WH-N100362,East,1.09,3
WH-W100363,WH-N100363,West,0.63,1
WH-C100364,WH-S100364,North,1.43,3
WH-N100365,WH-S100365,South,1.43,3
WH-S100366,WH-S100366,East,2.42,2
WH-E100367,WH-S100367,West,1.15,4
WH-W100368,WH-E100368,North,2.33,2
WH-C100369,WH-E100369,South,2.48,1
WH-N100370,WH-E100370,East,2.63,1
WH-S100371,WH-E100371,West,1.58,2
WH-E100372,WH-W100372,North,0.52,4
WH-W100373,WH-W100373,South,0.72,4
WH-C100374,WH-W100374,East,1.39,1
WH-N100375,WH-W100375,West,0.67,3
WH-S100376,WH-C100376,North,1.55,2
WH-E100377,WH-C100377,South,2.48,1
WH-W100378,WH-C100378,East,0.98,3
WH-C100379,WH-C100379,West,1.14,2
WH-N100380,WH-N100380,North,1.08,2
WH-S100381,WH-N100381,South,2.7,2
WH-E100382,WH-N100382,East,1.09,3
WH-W100383,WH-N100383,West,0.63,1
WH-C100384,WH-S100384,North,1.43,3
WH-N100385,WH-S100385,South,1.43,3
WH-S100386,WH-S100386,East,2.42,2
WH-E100387,WH-S100387,West,1.15,4
WH-W100388,WH-E100388,North,2.33,2
WH-C100389,WH-E100389,South,2.48,1
WH-N100390,WH-E100390,East,2.63,1
WH-S100391,WH-E100391,West,1.58,2
WH-E100392,WH-W100392,North,0.52,4
WH-W100393,WH-W100393,South,0.72,4
WH-C100394,WH-W100394,East,1.39,1
WH-N100395,WH-W100395,West,0.67,3
WH-S100396,WH-C100396,North,1.55,2
WH-E100397,WH-C100397,South,2.48,1
WH-W100398,WH-C100398,East,0.98,3
WH-C100399,WH-C100399,West,1.14,2
WH-N100400,WH-N100400,North,1.08,2
WH-S100401,WH-N100401,South,2.7,2
WH-E100402,WH-N100402,East,1.09,3
WH-W100403,WH-N100403,West,0.63,1
WH-C100404,WH-S100404,North,1.43,3
WH-N100405,WH-S100405,South,1.43,3
WH-S100406,WH-S100406,East,2.42,2
WH-E100407,WH-S100407,West,1.15,4
WH-W100408,WH-E100408,North,2.33,2
WH-C100409,WH-E100409,South,2.48,1
WH-N100410,WH-E100410,East,2.63,1
WH-S100411,WH-E100411,West,1.58,2
WH-E100412,WH-W100412,North,0.52,4
WH-W100413,WH-W100413,South,0.72,4
WH-C100414,WH-W100414,East,1.39,1
WH-N100415,WH-W100415,West,0.67,3
WH-S100416,WH-C100416,North,1.55,2
WH-E100417,WH-C100417,South,2.48,1
WH-W100418,WH-C100418,East,0.98,3
WH-C100419,WH-C100419,West,1.14,2
WH-N100420,WH-N100420,North,1.08,2
WH-S100421,WH-N100421,South,2.7,2
WH-E100422,WH-N100422,East,1.09,3
WH-W100423,WH-N100423,West,0.63,1
WH-C100424,WH-S100424,North,1.43,3
WH-N100425,WH-S100425,South,1.43,3
WH-S100426,WH-S100426,East,2.42,2
WH-E100427,WH-S100427,West,1.15,4
WH-W100428,WH-E100428,North,2.33,2
WH-C100429,WH-E100429,South,2.48,1
WH-N100430,WH-E100430,East,2.63,1
WH-S100431,WH-E100431,West,1.58,2
WH-E100432,WH-W100432,North,0.52,4
WH-W100433,WH-W100433,South,0.72,4
WH-C100434,WH-W100434,East,1.39,1
WH-N100435,WH-W100435,West,0.67,3
WH-S100436,WH-C100436,North,1.55,2
WH-E100437,WH-C100437,South,2.48,1
WH-W100438,WH-C100438,East,0.98,3
WH-C100439,WH-C100439,West,1.14,2
WH-N100440,WH-N100440,North,1.08,2
WH-S100441,WH-N100441,South,2.7,2
WH-E100442,WH-N100442,East,1.09,3
WH-W100443,WH-N100443,West,0.63,1
WH-C100444,WH-S100444,North,1.43,3
WH-N100445,WH-S100445,South,1.43,3
WH-S100446,WH-S100446,East,2.42,2
WH-E100447,WH-S100447,West,1.15,4
WH-W100448,WH-E100448,North,2.33,2
WH-C100449,WH-E100449,South,2.48,1
WH-N100450,WH-E100450,East,2.63,1
WH-S100451,WH-E100451,West,1.58,2
WH-E100452,WH-W100452,North,0.52,4
WH-W100453,WH-W100453,South,0.72,4
WH-C100454,WH-W100454,East,1.39,1
WH-N100455,WH-W100455,West,0.67,3
WH-S100456,WH-C100456,North,1.55,2
WH-E100457,WH-C100457,South,2.48,1
WH-W100458,WH-C100458,East,0.98,3
WH-C100459,WH-C100459,West,1.14,2
WH-N100460,WH-N100460,North,1.08,2
WH-S100461,WH-N100461,South,2.7,2
WH-E100462,WH-N100462,East,1.09,3
WH-W100463,WH-N100463,West,0.63,1
WH-C100464,WH-S100464,North,1.43,3
WH-N100465,WH-S100465,South,1.43,3
WH-S100466,WH-S100466,East,2.42,2
WH-E100467,WH-S100467,West,1.15,4
WH-W100468,WH-E100468,North,2.33,2
WH-C100469,WH-E100469,South,2.48,1
WH-N100470,WH-E100470,East,2.63,1
WH-S100471,WH-E100471,West,1.58,2
WH-E100472,WH-W100472,North,0.52,4
WH-W100473,WH-W100473,South,0.72,4
WH-C100474,WH-W100474,East,1.39,1
WH-N100475,WH-W100475,West,0.67,3
WH-S100476,WH-C100476,North,1.55,2
WH-E100477,WH-C100477,South,2.48,1
WH-W100478,WH-C100478,East,0.98,3
WH-C100479,WH-C100479,West,1.14,2
WH-N100480,WH-N100480,North,1.08,2
WH-S100481,WH-N100481,South,2.7,2
WH-E100482,WH-N100482,East,1.09,3
WH-W100483,WH-N100483,West,0.63,1
WH-C100484,WH-S100484,North,1.43,3
WH-N100485,WH-S100485,South,1.43,3
WH-S100486,WH-S100486,East,2.42,2
WH-E100487,WH-S100487,West,1.15,4
WH-W100488,WH-E100488,North,2.33,2
WH-C100489,WH-E100489,South,2.48,1
WH-N100490,WH-E100490,East,2.63,1
WH-S100491,WH-E100491,West,1.58,2
WH-E100492,WH-W100492,North,0.52,4
WH-W100493,WH-W100493,South,0.72,4
WH-C100494,WH-W100494,East,1.39,1
WH-N100495,WH-W100495,West,0.67,3
WH-S100496,WH-C100496,North,1.55,2
WH-E100497,WH-C100497,South,2.48,1
WH-W100498,WH-C100498,East,0.98,3
WH-C100499,WH-C100499,West,1.14,2
WH-N100500,WH-N100500,North,1.08,2
WH-S100501,WH-N100501,South,2.7,2
WH-E100502,WH-N100502,East,1.09,3
WH-W100503,WH-N100503,West,0.63,1
WH-C100504,WH-S100504,North,1.43,3
WH-N100505,WH-S100505,South,1.43,3
WH-S100506,WH-S100506,East,2.42,2
WH-E100507,WH-S100507,West,1.15,4
WH-W100508,WH-E100508,North,2.33,2
WH-C100509,WH-E100509,South,2.48,1
WH-N100510,WH-E100510,East,2.63,1
WH-S100511,WH-E100511,West,1.58,2
WH-E100512,WH-W100512,North,0.52,4
WH-W100513,WH-W100513,South,0.72,4
WH-C100514,WH-W100514,East,1.39,1
WH-N100515,WH-W100515,West,0.67,3
WH-S100516,WH-C100516,North,1.55,2
WH-E100517,WH-C100517,South,2.48,1
WH-W100518,WH-C100518,East,0.98,3
WH-C100519,WH-C100519,West,1.14,2
WH-N100520,WH-N100520,North,1.08,2
WH-S100521,WH-N100521,South,2.7,2
WH-E100522,WH-N100522,East,1.09,3
WH-W100523,WH-N100523,West,0.63,1
WH-C100524,WH-S100524,North,1.43,3
WH-N100525,WH-S100525,South,1.43,3
WH-S100526,WH-S100526,East,2.42,2
WH-E100527,WH-S100527,West,1.15,4
WH-W100528,WH-E100528,North,2.33,2
WH-C100529,WH-E100529,South,2.48,1
WH-N100530,WH-E100530,East,2.63,1
WH-S100531,WH-E100531,West,1.58,2
WH-E100532,WH-W100532,North,0.52,4
WH-W100533,WH-W100533,South,0.72,4
WH-C100534,WH-W100534,East,1.39,1
WH-N100535,WH-W100535,West,0.67,3
WH-S100536,WH-C100536,North,1.55,2
WH-E100537,WH-C100537,South,2.48,1
WH-W100538,WH-C100538,East,0.98,3
WH-C100539,WH-C100539,West,1.14,2
WH-N100540,WH-N100540,North,1.08,2
WH-S100541,WH-N100541,South,2.7,2
WH-E100542,WH-N100542,East,1.09,3
WH-W100543,WH-N100543,West,0.63,1
WH-C100544,WH-S100544,North,1.43,3
WH-N100545,WH-S100545,South,1.43,3
WH-S100546,WH-S100546,East,2.42,2
WH-E100547,WH-S100547,West,1.15,4
WH-W100548,WH-E100548,North,2.33,2
WH-C100549,WH-E100549,South,2.48,1
WH-N100550,WH-E100550,East,2.63,1
WH-S100551,WH-E100551,West,1.58,2
WH-E100552,WH-W100552,North,0.52,4
WH-W100553,WH-W100553,South,0.72,4
WH-C100554,WH-W100554,East,1.39,1
WH-N100555,WH-W100555,West,0.67,3
WH-S100556,WH-C100556,North,1.55,2
WH-E100557,WH-C100557,South,2.48,1
WH-W100558,WH-C100558,East,0.98,3
WH-C100559,WH-C100559,West,1.14,2
WH-N100560,WH-N100560,North,1.08,2
WH-S100561,WH-N100561,South,2.7,2
WH-E100562,WH-N100562,East,1.09,3
WH-W100563,WH-N100563,West,0.63,1
WH-C100564,WH-S100564,North,1.43,3
WH-N100565,WH-S100565,South,1.43,3
WH-S100566,WH-S100566,East,2.42,2
WH-E100567,WH-S100567,West,1.15,4
WH-W100568,WH-E100568,North,2.33,2
WH-C100569,WH-E100569,South,2.48,1
WH-N100570,WH-E100570,East,2.63,1
WH-S100571,WH-E100571,West,1.58,2
WH-E100572,WH-W100572,North,0.52,4
WH-W100573,WH-W100573,South,0.72,4
WH-C100574,WH-W100574,East,1.39,1
WH-N100575,WH-W100575,West,0.67,3
WH-S100576,WH-C100576,North,1.55,2
WH-E100577,WH-C100577,South,2.48,1
WH-W100578,WH-C100578,East,0.98,3
WH-C100579,WH-C100579,West,1.14,2
WH-N100580,WH-N100580,North,1.08,2
WH-S100581,WH-N100581,South,2.7,2
WH-E100582,WH-N100582,East,1.09,3
WH-W100583,WH-N100583,West,0.63,1
WH-C100584,WH-S100584,North,1.43,3
WH-N100585,WH-S100585,South,1.43,3
WH-S100586,WH-S100586,East,2.42,2
WH-E100587,WH-S100587,West,1.15,4
WH-W100588,WH-E100588,North,2.33,2
WH-C100589,WH-E100589,South,2.48,1
WH-N100590,WH-E100590,East,2.63,1
WH-S100591,WH-E100591,West,1.58,2
WH-E100592,WH-W100592,North,0.52,4
WH-W100593,WH-W100593,South,0.72,4
WH-C100594,WH-W100594,East,1.39,1
WH-N100595,WH-W100595,West,0.67,3
WH-S100596,WH-C100596,North,1.55,2
WH-E100597,WH-C100597,South,2.48,1
WH-W100598,WH-C100598,East,0.98,3
WH-C100599,WH-C100599,West,1.14,2
WH-N100600,WH-N100600,North,1.08,2
WH-S100601,WH-N100601,South,2.7,2
WH-E100602,WH-N100602,East,1.09,3
WH-W100603,WH-N100603,West,0.63,1
WH-C100604,WH-S100604,North,1.43,3
WH-N100605,WH-S100605,South,1.43,3
WH-S100606,WH-S100606,East,2.42,2
WH-E100607,WH-S100607,West,1.15,4
WH-W100608,WH-E100608,North,2.33,2
WH-C100609,WH-E100609,South,2.48,1
WH-N100610,WH-E100610,East,2.63,1
WH-S100611,WH-E100611,West,1.58,2
WH-E100612,WH-W100612,North,0.52,4
WH-W100613,WH-W100613,South,0.72,4
WH-C100614,WH-W100614,East,1.39,1
WH-N100615,WH-W100615,West,0.67,3
WH-S100616,WH-C100616,North,1.55,2
WH-E100617,WH-C100617,South,2.48,1
WH-W100618,WH-C100618,East,0.98,3
WH-C100619,WH-C100619,West,1.14,2
WH-N100620,WH-N100620,North,1.08,2
WH-S100621,WH-N100621,South,2.7,2
WH-E100622,WH-N100622,East,1.09,3
WH-W100623,WH-N100623,West,0.63,1
WH-C100624,WH-S100624,North,1.43,3
WH-N100625,WH-S100625,South,1.43,3
WH-S100626,WH-S100626,East,2.42,2
WH-E100627,WH-S100627,West,1.15,4
WH-W100628,WH-E100628,North,2.33,2
WH-C100629,WH-E100629,South,2.48,1
WH-N100630,WH-E100630,East,2.63,1
WH-S100631,WH-E100631,West,1.58,2
